AppId,Content,ReviewCreatedVersion,ReviewTime,matched_keywords,performance issue,tag,label_1,label_2,final_label
com.extreamsd.usbaudioplayerpro,"I have been using this for a few years now. It really struggles with Tidal and seems to getting worse. It constantly pauses and fails to play. the app often becomes unresponsive with several button presses doing nothing, this has been the case on my Samsung s7 edge s9 and One Plus 6. I really love the app but it is just to unpredictable to use. I very often receive cannot resolve stream or unauthorised messages I often see an ""a sync abort"" message and nothing plays...this is on s8 s9 one plus 6",5.0.7,20190126,unresponsive,Responsiveness,,1,1,1
com.elf.koalasampler,It's a very fine app but the latency on my device makes it unusable. Will definitely seek this out if I end up with a faster device at some stage.,,20220222,latency,Responsiveness,not sure if it is the app's problem,0,1,1
com.steinberg.cubasis3,An excellent app kneecapped by android audio performance. The latency inherent to android makes this app basically unusable if you want to record midi performances. ¯\(ツ)/¯,3.5.2,20230607,latency,Responsiveness,,1,1,1
com.Relmtech.RemotePaid,"severe battery drain on s10, causing 1% loss every 3 minutes. drain immediately dissapeared after uninstall, back to 1% loss every 8-9 minutes.",3.21.0,20220818,battery drain,Energy Consumption,uninstall,1,1,1
com.simplemobiletools.calendar.pro,"I love this app, but recently it's started to misbehave. I see my events for March, but April and May are both totally empty. Also, it's become really slow and sluggish. I've tried to delete cache and data and reinstalled it. One thing surorises me, though. When I reinstall, it starts up with all my previous CalDAV settings which I thought I would need to set up again. Does it store any settings anywhere else?",6.9.0,20200325,sluggish,Responsiveness,,1,1,1
jp.ne.ibis.ibispaint.app,I love the app but it grows way too fast in storage space.,9.0.1,20210713,storage space,Memory Consumption,,1,1,1
com.microsoft.office.officehubrow,"Dear Developers, I must begin by expressing my gratitude for the voice dictation included in Microsoft word. I have and I am using this feature occasionally. In the previous version the voice dictation worked without issues;however with the latest update the voice dictation and word application crashes closing completely without any warning sign such as asking me to wait or warning that the application is unresponsive. The crashes happen randomly. Please look into it",16.0.13801.20162,20210313,unresponsive,Responsiveness,,1,1,1
co.feeld,Good app for finding people BUT the chat function is so glitchy.. goes unresponsive if I'm trying to chat to someone. Seems to glitch out most mid conversation but suspect issue is with connecting with your messaging server or whatever. Too many drop outs. Please fix!,6.2.3,20230119,unresponsive,Responsiveness,drop outs,0,1,1
it.navionics.singleAppMarineLakesHD,"UPDATE: Happy with fast response. Will work with support from here. Latest version is less responsive and buggy. Reliability is more important than features. ""Update maps"" spins forever with no indication if maps need to actually be updated. Route calculations often fail. After following a route for more than a few hours, app becomes extremely sluggish and sometimes unresponsive. I did not have these issues with previous versions.",19.0.2,20230618,"unresponsive
sluggish",Responsiveness,以前没有这问题，更新之后有。,1,0,1
com.kobobooks.android,"Great until the latest update. Sure it looks cleaner, but now it's sluggish, takes way more time to load up a book I've already started reading, and I can't stop the laggy animation for switching pages. Edit: seems to be all fixed",8.19.29014,20200716,sluggish,Responsiveness,,1,1,1
com.expressvpn.vpn,Works seemlessly. No slowdown. No hassle except having to disconnect when printing wirelessly. Weird.,10.2.2,20210509,slowdown,No,,0,0,0
com.microsoft.office.word,I like what the app is supposed to be and I know it is improving all the time which is why I still have 5 stars When using this app the controls are finicky at best. Either unresponsive or the keyboard disappears when you are trying to move the curser to a specific area. Spell check doesn't work on first try the word just stays the same until you push delete and tell it to correct the word again. When attempting to move the document around it is really unresponsive and movement is off,16.0.16227.20132,20230426,unresponsive,Responsiveness,,1,1,1
com.babbel.mobile.android.en,"The PC app is much better in comparison. Response time is slower, app gets stuck and needs restart frequently, voice recognition experience is inconsistent.",21.46.0,20240405,response time,Responsiveness,,1,1,1
com.surfshark.vpnclient.android,"Update : Okay, I'm getting the hang of it. I needed to protect my screen real time so I have ProtectStar to protect my camera and USB webcam from screenshots and video, they work really well together. So far so good. —— Combining Dashboard and Servers tabs is a disaster. I kept on pressing checkmark for latency thinking nothing was happening but I couldn't see what was underneath, in my frustration I pressed the recommended server which was the server I never ever wanted to be connected.",,20240329,latency,No,tag,0,0,0
com.coffeemeetsbagel,"CMB engineers are geniuses. The bootup, latency, and basic mobile app bugs and issues are so terrible that these issues indirectly force you to want to communicate with any potential dates through other apps. Truly innovators in a way not thought possible.",5.24.1.3663,20191211,latency,Responsiveness,,1,1,1
com.intuit.qbse,Updated : the Battery drainage issue was related to another app. So changing the review,5.45,20201017,battery drain,Energy Consumption,,1,1,1
com.tradingview.tradingviewapp,"After the latest update, app crashes within 3 seconds of opening the app. Tried clearing data storage and that didn't solve it. Update: Uninstalling and then reinstalling the app resolved the issue.",1.20.22.1.1001212,20240229,data storage,No,,0,0,0
com.amazon.dee.app,"I have several smart light bulbs connected thru the Alexa app and after the update, the app will not recognize those smart lights and keeps saying ""skill in unresponsive"". Additionally, it doesn't find the smart lights, if it manages to find a new smart light, it wont respond with the app. Before that it, worked great. Please fix those bugs. UPDATE: everything is working as intended now",2.2.283059.0,20190710,unresponsive,Responsiveness,,1,1,1
com.teamspeak.ts3client,Samsung S9 All day use under wifi works great however when i get phone calls the app will become unresponsive and in order to close it i have to restart phone... big fail... ipone version is a lot more stable. Security is why we use teamspeak nothing else out there offers that thanks Teamspeak.,3.3.2,20191102,unresponsive,Responsiveness,,1,1,1
com.sygic.aura,I am a long term user of Sygic. I have started noticing the software appears to be sluggish in map updating and does not properly locate my vehicle. I have tried other GPS Software on the same device and these issues do not occurr. Also when turning the vehicle location does not update the turn right away like other GPS Software. I am hopeful these issues will be resolved in the future but if not then I will stop discontinue my premium subscription service and find another solution.,22.1.2-2059,20220725,sluggish,Responsiveness,"stop subscription, loss money",1,1,1
com.musescore.playerlite,"Good app in theory, even if the UI feels a little slow and unresponsive at times. At the moment though I have an issue where there is a black notification bar across the bottom of the screen at all times saying ""Score was added to favorites"". This won't go away, even after force closing the app, and when in landscape it blocks out whole lines of music making the whole app pretty unusable. Please can you look into this? Update: Issue resolved",2.5.16,20200504,unresponsive,Responsiveness,example,1,1,1
com.smule.singandroid,"Nice app. Thanks. But sometimes delayed mic feedback is irritating in this app. While incoming call arrives while singing, it can't resume, not responding the resume, then need sing again from start. This app need correction on it. No ff or rev correction possible in middle of recording. No correction possible once recorded. 18/9/2021 Songs unable to uploading, or missing my all good singing songs this month. Smule song uploading function is not working. 12.2.2023: Not supporting bluetooth mic.",10.5.3,20230212, FF ,Responsiveness,,1,1,1
com.download.funny.online,Nice but we dont need to pay coins for calls...a mean we paying for the data consumption so it is overrated,2.0.91,20210719,data consumption,No,,0,0,0
com.panda.gamepad,"Edit: I fixed the issue I was having. If you're on a Samsung phone, make sure ""Priority Mode"" is turned off in the game booster settings otherwise the overlay won't show over the game. The app was working great, no issues. I even bought the activator to make it more portable, but since updating to Android 12 the game is unresponsive as long as the app is running. Touch screen won't work with touch or controller.",1.4.9,20220206,unresponsive,Responsiveness,,1,1,1
com.panda.gamepad,recently this apps getting unresponsive and a little bit not smooth please fix it,1.2.2,20190701,unresponsive,Responsiveness,,1,1,1
com.kick.mobile,I'm stuck at the terms and conditions page I hit accept and nothing happens ...Edit: problem solved it was because of xqcs stream the servers lagged and the app was unresponsive,1.33.7,20230623,unresponsive,Responsiveness,,1,1,1
com.piriform.ccleaner,"Cleans the best that Android permits. Android wastes a lot of main storage space by not permitting much of the use of storage memory (usually SD) some of which CC helps. It's still a problem to Android users and will be for decades. Until then, or only hopes are CC or 3rd party hard board restructurings.",24.01.0,20240131,storage space,No,,0,0,0
com.jeyluta.timestampcamera,Paid SR 19 but the camera is still with ads. Need refund. After payment the Pro keeps loading but not downloading,,20200419, SR ,No,,0,0,0
com.franco.kernel,Update 30 Sep: Franco im on r12 latest n pointed out exactly as am experiencing thermal throttle. SOT has started giving 4.5-5.5hrs max after gaming (pubg 30-50mins n hardly asphalt once in a day). I received a notification too of drastically idle or only battery drain. Didnt notice n unintentionally exited. Will record later if i find it again. Would request you to work under thermal throttle issues. #The most recommended kernel for midos Thanks and keep up your development franco😘 All the best 😉👍👍 Old: Well franco i have always been up to date in your kernel stuffs. Using it in RN4x - Pixel Experience Official Android 9.0 Pie n works flawlessly. Though gaming sometimes lag (e.g. pubg/asphalt 9) so if you suggest me settings would be very gladful. Thanks n keep up your development,3.6.2,20180930,battery drain,Responsiveness,,1,1,1
com.franco.kernel,Does this support OnePlus 9 pro? The new device has so many overheating and battery drain issues.,6.1.13,20210512,battery drain,Energy Consumption,,1,1,1
digital.rbi.timhortons,Very slow and unresponsive might be you need some inspiration from indian food apps. Try zomato app or swiggy and than you know how app should work ..,7.1.252,20240526,unresponsive,Responsiveness,,1,1,1
digital.rbi.timhortons,Offers ordered but didn't get savings applied to Bill paid full value sent in email my complaint but no response I received the points sorry for my slow response the times team are working hard TY.,7.1.229,20240406,slow response,No,,0,0,0
org.mozilla.firefox,"Firefox has been my go-to browser for close to a decade. It's always worked great for me, and I am a huge fan of the open-source movement. I recently bought a Google Pixel, and I've noticed that Firefox completely leeches my phone's battery. Even if I force stop the app, it still drains the battery in the background. My battery drained 20% overnight last night, and the battery saver was turned on. My settings indicate the only app running was Firefox. Please fix this!! For now, I'm deleting it.",120.0.1,20240201,battery drain,Energy Consumption,,1,1,1
free.vpn.unblock.proxy.turbovpn,It is good app for free fire players it is only useful for editing ff videos,4.0.8,20240526, FF ,No,,0,0,0
com.chillseekers.Necrophonic,I didn't had any experience but wen I was actually using this app in a abandoned factory I had my phone battery draining faster then heard some voice regarding get out saying,1.16,20210830,battery drain,Energy Consumption,,1,1,1
com.pujie.wristwear.pujieblack,Used to be the best app. Now it won't even open on my watch. It's frustrating Update: I was contacted regarding why it stopped working (my watch type [Samsung] was removed from the supported list). They tried to contact Google Playstore to give me a refund to no avail so they refunded me via PayPal. This was a relatively quick process altogether but their response time was especially impressive. They asked me to update the review due to the resolution.,5.1.19,20221009,response time,No,,0,0,0
com.nytimes.android,"App is difficult to navigate, seems to be designed to be rigid and unresponsive. The reporting and stories are top notch though, which offsets the difficulties.",10.18.0,20230629,unresponsive,Responsiveness,,1,1,1
com.sixdays.truckerpath,This was my go to app and then it updated and now I can't see any POI's. It's really disappointing when you depend on something so heavily and all of a sudden it's gone....the response time on the glitch was awesome. This tech team is on their ish!,3.6.8,20190927,response time,No,,0,0,0
com.sixdays.truckerpath,Latest update is eating my battery like crazy. It also is taking 5 to 10 seconds to load place icons onto the map. Last week those were nearly instant. Please publish a fix. Update seems to have fixed the battery drain issue. Thanks,3.7.6,20191129,battery drain,"Energy Consumption
Responsiveness",,1,1,1
com.imo.android.imoim,When I call and talk there are always on background music ? After the end call also background music still on. Which is my mobile battery drained Please fix it .,2024.01.3051,20240215,battery drain,Energy Consumption,,1,1,1
com.imo.android.imoim,"This app was a good app before but now turned out to a battery draining app. Whenever I add contact number of some one I just met , it adds me as his friend. I just met him. Maybe , sometimes I don't even want to see him anymore , but then again this apps shows friend of friends moments. And why so many ads ???? You would say , to support our developers. I would say ,WhatsApp has no ads, WeChat has, Viber has no ads....how are they running their company??? I hate this app......",2019.6.21,20200205,battery drain,Energy Consumption,,1,1,1
com.imo.android.imoim,Theres no low data usage mode in my imo why?,2024.02.1031,20240311,data usage,No,,0,0,0
cz.seznam.mapy,"Best app I have, great for cycling, walking and skiing. After my Nokia 5.1 updated to android 10 the app has become very sluggish probably due to android bloatware, it was great on android 9 but it is almost impossible to revert back.",8.2.0,20210225,sluggish,Responsiveness,,1,1,1
com.cocacola.app.cee,"This is overall very good app and I actually love coca cola and also fanta, but this new fanta snack catcher is so laggy it makes this app 10 times WORSE (and I have a very good 400€ value smartphone). And even worse is that you HAVE to play fanta snack catcher in order to receive coins. Edit: Now it is even worse with coca cola new game mode Open up. I just can't hit those notes, its so unresponsive!",2.76.1,20210726,unresponsive,Responsiveness,,1,1,1
com.bitdefender.security,Battery drain is a lot higher then Eset and that was with Malwarebytes also installed. Bought the 5 device to protect all my devices. But sadly I my have to go back to Eset if the battery issue continues. 5-1-24 issue was fixed along time ago. 5 🌟 now,3.3.236.2417,20240502,battery drain,Energy Consumption,,1,1,1
com.hubx.imagination,Goofy spelling for creating and done. A lot of options are missing letters. Program works again after being unresponsive for 3 days.,3.5.4,20240507,unresponsive,Responsiveness,,1,1,1
com.dlink.mydlinkunified,response time from an event notification to live streaming way too slow. needs to load faster & increase cloud storage..,1.12.0,20200701,response time,Responsiveness,,1,1,1
no.nrk.yr,"The only accurate weather app put there, but last update made it a battery drain",,20181018,battery drain,Energy Consumption,,1,1,1
air.com.myheritage.mobile,"App has stopped working on Samsung A72. Completely unresponsive screen. Uninstalled, rebooted, reinstalled, can't even click the login button. Started about a week ago Update: latest Android update seems to have fixed this. App is clickable again. There was no Android update when it stopped working though... Oh well.",5.8.4,20210518,unresponsive,Responsiveness,,1,1,1
air.com.myheritage.mobile,App has stopped working. Screen is unresponsive except for the slide menu Update: issue was solved and app updated. Kudos to technical support,,20210515,unresponsive,No,,0,0,0
fi.hsl.app,"Ticket update fails and won't show my season ticket, and then the app becomes unresponsive and I cannot close the app or even exit. Edit: works like it should after following instructions to delete, boot and reinstall.",3.5.0,20210604,unresponsive,Responsiveness,,1,1,1
io.tessie.app,It was a huge battery drain. I would have to keep the watch in power saving to make it a day without charging. My watch died in the middle of the night which never happened before. I had to uninstall it.,10.9.35,20240115,battery drain,"Energy Consumption
Responsiveness",,1,1,1
com.starfinanz.smob.android.sfinanzstatus,Update: it only needs time to open the database. Back to 5 stars Seems like everyone has a problem with the recent update on Google Pixel. It remains irresponsive on opening database. Looks like the update has been a mess. Needs urgent attention and fix,5.12.1,20210803,irresponsive,Responsiveness,,1,1,1
com.v2ray.ang,"Mux is super amazing feature, significantly reduce the response time. But I can't reply or repost twitter after using this version. I am not sure it the problem of client or server. I use my own v2fly sevice.",1.8.12,20240104,response time,No,,0,0,0
com.v2ray.ang,if app have data usage for each server we add will be great,,20230611,data usage,No,,0,0,0
de.blitzer.plus,I have been using this app for several years now comma and have to say that it is very accurate. I've done great is the star rating from 5 to 2 because of a lack Luster support service email roughly a week ago regarding my data usage jumping from 60 megabytes 400 in a single month. and the response that I got from the customer service was that the app downloads once per week the entire fixed speed camera database. I was advised to open the app at home once a week to download the entire database. I responded to this email but this does not account for the jump in data. I am still waiting for a response to this email more than one week later.,2.9.8,20170627,data usage,No,example,0,0,0
dk.tacit.android.foldersync.full,"The app works well, but only supports SMBv1, which has been deprecated and known to be very insecure. There have been numerous complaints about this but the author has been stubbornly unresponsive about it. I really like the app but I'm forced to switch because of this. Update: SMB2 is now supported properly!",2.10.2,20200529,unresponsive,No,,0,0,0
com.flipkart.android,"too many bugs are there in app, seems lag, need to improve. under account section, clicked on flipkar pay later option, next screen is not loading, its boomering till mobile battery drains out.",7.85,20240330,battery drain,"Energy Consumption
Responsiveness",bug revealing actions,1,1,1
com.myairtelapp,UPI is not great but Airtel Payments Bank is good. Apps needs to improve it's UI and it has a very boring and slow response rate,4.88.0,20240320,slow response,Responsiveness,,1,1,1
net.one97.paytm,New review: Eats up too much device storage space. Old review: Always works for me for mobile recharges. It would be great if I could get a report showing my monthly recharge amounts.,10.38.0,20240112,storage space,Storage Consumption,,1,1,1
in.amazon.mShop.android.shopping,"Recently, the application has started freezing too much. Whenever, I try to select a option for something in wishlist, it takes a lot of time just to show the option and then either freezes or says application has stop responding. Even in normal browsing, after searching five to seven products, it becomes unresponsive or lagging. The condition goes so bad that I need to start it again. I've 4GB of RAM. I don't know why it stucks so much? Please fix it.",20.21.0.300,20201029,unresponsive,Responsiveness,,1,1,1
com.frontrow.vlog,"One of the best editors out there for Android surely. But there are few things that can be better. For example when editing when you move around and try to play video it lags most of the times and audio goes out of sync. So maybe add a feature like premiere pro where you can edit videos at a lower memory consumption, similary preview would be lower quality as well. For editing it would be better and it would lag less.",2.2.1,20240129,memory consumption,Responsiveness,,1,1,1
com.graymatrix.did,awesome... bhabhiji ghar pr hai... that's the reason I love you zee5... But now from past one week app starts freezing and and it is automatically crashed and force close anr issue is seen.. Please fix this I was planning for to get subscription but now I think after your fixing this issue I will plan to buy subscription,38.4.7,20221002, ANR ,Responsiveness,Solve this problem on my subscription,1,1,1
com.graymatrix.did,"Contents are nice but functioning of app is poor as compared to others. Slow streaming as well as downloading, Lengthy response time, starts from start once exiting.. Proposal- Try to put name and pic of cast at a single place or during playback.",17.0.0.134,20200726,response time,Responsiveness,,1,1,1
com.maps.locator.gps.gpstracker.phone,I think it could be better my service providers are not doing enough to help. Tarrif is high data consumption alarming,,20230827,data consumption,No,,0,0,0
com.sonyliv,"Nice app, But this app consumes lot of data. Normally duration of TKSS's episodes is 1hour some minutes or 1 hour only But If I watched the entire episode(1 hour), then in such a time it uses approx 600 to 700 MB data, When the video quality is very low. No that's wrong if i am watching video in low quality either high quality, data consumption is same in both quality. You can check this Only in 2 sec or 5 sec it takes 2 to 4 MB 🙄🙄 I can send you video of this.. Otherwise I can't use this..",6.4.4,20200819,data consumption,Internet Data Usage,example,1,1,1
com.gaana,Good song is the zone it on the screen is the first one I have to download it to be the same as it is for all Windows apps not working so the app is still a new one but I think it should have been a couple different browsers versions of and now since the app first has the same issue with so much long data usage on the the phone so I don't have access to it now yet but and I I have to been charged hacked by off site the other app is is the it that app got is working OK so I have reset my password,8.21.1,20210322,data usage,No,,0,0,0
com.iexceed.appzillon.ippbMB,"The app is quite slow especially when we try to fetch data from server. Hence, the device battery drains faster while using the app. Error messages are incorrect. For ex, while sending funds directly to a new beneficiary, I get error ""Try later"" which is actually the amount being exceeded. If | add the beneficiary then I can transfer amount. App is dead slow while first time registration.",1.13.2.0,20240118,battery drain,"Responsiveness
Energy Consumption",,1,1,1
vinkle.video.editor,The app is ok but if i download the video it says not enough storage space..i have lot storage now but it still not working much can you update to not get lot storage..😫please? I will support you!😇😇,1.7.10064,20201005,storage space,Storage Consumption,,1,1,1
com.threesixteen.app,Hmmmmm. The app is very good . I installed this app to collect diamonds in ff i am in platinum rank . When i installed this app ive do many tasks and collect coins but when i watch brodcast it show 0 min and and when it is complete the collect coin option shows black and when i click black one i collect coin 😐️🤔please fix this problem,6.2.0,20210819, FF ,No,,0,0,0
com.threesixteen.app,Rooter please fix this bug ff duamond not redeem problem.i can't do one top up also.,7.1.0,20231216, FF ,No,,0,0,0
xyz.penpencil.physicswala,I've been using this app for 2+ years and the experience so far has been amazing. But I don't know what happened with the last update. Whenever i open lecture ppts my phone starts heating up and the battery drains really quickly. If never used to happen before. 6 hours of lectures would do nothing but a ppt file would heat it up. I hope you can resolve this soon because it's an amazing education platform for all of us.,14.10.4,20240514,battery drain,Energy Consumption,,1,1,1
io.chingari.app,Sir please immediately do something for the high consumption of the data by this application. It is very important to do so as i restricted myself using the application because of the data consumption and the same goes for others too. If you want to grow more then address this issue imminently.,2.5.0,20200727,data consumption,Storage Consumption,,1,1,1
com.blued.international,It's consumes alot of our data and internet addition to that I get ban for silly reasons need to improve in not banning and internet data usage,5.1.2,20240330,data usage,Internet Data Usage,example. Internet data usage,0,1,1
com.starmakerinteractive.thevoice,"Can't set Latency before song recording. Even after completing song recording and Latency setting done the song speed auto set to Latency 39 after posting the song which unfair with the singer. Technical department should immediately rectify this problem. We don't need SOLO/ DUET at first, we need sitting option to be shown before start of the recording. Please do needful.",7.7.4,20200802,latency,No,,0,0,0
com.starmakerinteractive.thevoice,"Guys, Reduce its apps size, contents should be more and less app size needed, just arrange such type. Otherwise It doesn't support at mobile phones can only support at laptop. So reduce the size of this application.",,20220326,app size,Storage Consumption,,1,1,1
com.shopee.id,"It is a bloatware. Slow and unresponsive with many games and video platform that has nothing to do with commerce. But they offer many great promos, so despite that it's still my most used e-commerce app.",2.88.23,20220611,unresponsive,Responsiveness,,1,1,1
com.telkomsel.telkomselcm,"Tries to fool people. Using Family Quota is not so good. You'll realise that everytime the remainder quota is only ±8 GB, your internet will suddenly got sucked up. Checked on the data usage of every phone in the family quota and you'll realise the sum doesn't add up to the amount of internet that ""was said"" being used for that day. The daily check in event ain't good no more, unless you buy a package every once and then.",6.16.1,20230504,data usage,No,,0,0,0
com.pure.indosat.care,Report inaccurate data usage frequently. Very slow server for just update data usage.,v69.2,20181213,data usage,No,,0,0,0
io.silvrr.installment,"Applied July 31, until now status is ""Processing"". Very poor CS and unresponsive. I am a repeat borrower and so far this might be the worst microlending app ever!",3.0.24,20190906,unresponsive,No,,0,0,0
ovo.id,No unresponsive verification when buying games from epic store unlike dana,3.94.0,20231106,unresponsive,No,,0,0,0
com.traveloka.android,"Used traveloka eats,waiting for 2 hours food still not coming. Complaint to CS and super slow response. Case is handled well",,20211024,slow response,No,,0,0,0
com.cloudflare.onedotonedotonedotone,This app was very good app but now isn't working please this app owner make this good app problem to start ff game so I can't use this but I also was love this too much easy to open this app but this not wrl,6.33,20240526, FF ,No,,0,0,0
com.litatom.app,"What the hell? Why do I can't log in? It's just saying Server response timeout, what an annoying app",3.9.1.6,20220302,response time,Responsiveness,,1,1,1
