Title,Tags,Link,With Code,matched_keywords,performance issue,factor,description,tag,problems root causes,how to fix,label_1,label_2,final_label
Android : Bitmap causing out of memory error,"android,bitmap",https://stackoverflow.com/questions/36141094/android-bitmap-causing-out-of-memory-error,True,out of memory,Memory Consumption,Image,"I'm having some troubles with memory leaks on Android.
I do have a simple application with a relatively picture as background and it works fine, until I change the orientation.
The following is a graph showing the memory leak (allocated memory over time). Every spike corresponds to an orientation change, and every spike is +20M of allocated memory
At ~ 30 seconds the app crashes with an obvious ""OutOfMemory"" error:
Throwing OutOfMemoryError ""Failed to allocate a 17469452 byte allocation with 804912 free bytes and 786KB until OOM""`




I've managed to solve the problem.
It was all because of a damn timer which was setting a tick event on every screen orientation change.
To fix the issue I simply binded the timer to a variable, and called timer.cancel() in onSaveInstance()
",new factor,,,1,1,1
&#39;Out of memory error&#39; when building Android on a VM,"java,android,jvm",https://stackoverflow.com/questions/36129889/out-of-memory-error-when-building-android-on-a-vm,True,out of memory,Memory Consumption,Configuration,,,,,1,1,1
Android: Out of memory on a 150994960-byte allocation,"java,android,memory",https://stackoverflow.com/questions/36084192/android-out-of-memory-on-a-150994960-byte-allocation,True,out of memory,Memory Consumption,No,,,,,1,0,1
Unable to reduce android app size from 3.9 MB to about 2 MB in Xamarin Studio,"android,xamarin,filesize,xamarin-studio",https://stackoverflow.com/questions/36081704/unable-to-reduce-android-app-size-from-3-9-mb-to-about-2-mb-in-xamarin-studio,True,app size,Storage Consumption,Configuration,,,,,1,1,1
RecylerView Adapter causing memory leak when using on Click interface,"java,android,memory-leaks,android-recyclerview",https://stackoverflow.com/questions/36060804/recylerview-adapter-causing-memory-leak-when-using-on-click-interface,True,memory leak,Memory Consumption,Fragment,,,,,1,1,1
Picasso Out of Memory Error?,"android,json,android-asynctask,out-of-memory,picasso",https://stackoverflow.com/questions/36006671/picasso-out-of-memory-error,True,out of memory,Memory Consumption,Third-Party Library,,,,,1,1,1
Out of memory; SQLite Database crashed,"android,sqlite,out-of-memory,android-sqlite",https://stackoverflow.com/questions/35953726/out-of-memory-sqlite-database-crashed,True,out of memory,Memory Consumption,"Object Creation
Loop",,,,,1,1,1
Picasso out of memory error - Android Image Loading in ListView with custom adapter,"android,image,out-of-memory,adapter,picasso",https://stackoverflow.com/questions/35946248/picasso-out-of-memory-error-android-image-loading-in-listview-with-custom-adap,True,out of memory,Memory Consumption,"AsyncTask
Dynamic UI Loading
Third-Party Library",,,,,1,1,1
ShowCaseView Out of Memory Error,"java,android,out-of-memory,showcaseview,samsung-galaxy",https://stackoverflow.com/questions/35941998/showcaseview-out-of-memory-error,True,out of memory,Memory Consumption,Image,"Bitmap
",not sure,,,0,1,1
Bitmap.createBitmap out of memory error java,"java,android,bitmap,out-of-memory",https://stackoverflow.com/questions/35941542/bitmap-createbitmap-out-of-memory-error-java,True,out of memory,Memory Consumption,Image,"Bitmap
",,,,1,1,1
How to decrease React-Native android App Size,"android,android-gradle-plugin,react-native",https://stackoverflow.com/questions/35940957/how-to-decrease-react-native-android-app-size,True,app size,Storage Consumption,"Third-Party Library
Configuration
Resource",,,,,1,1,1
Out of memory on a 5898256-byte allocation when using Picasso Libarary,"android,out-of-memory,picasso",https://stackoverflow.com/questions/35931598/out-of-memory-on-a-5898256-byte-allocation-when-using-picasso-libarary,True,out of memory,Memory Consumption,Third-Party Library,,,,,1,1,1
Strange Android memory consumption before even before first Activity starts,"java,android,memory,dalvik",https://stackoverflow.com/questions/35901812/strange-android-memory-consumption-before-even-before-first-activity-starts,True,memory consumption,Memory Consumption,No,,,,,1,0,1
How to solve out of memory (OOM) error without reducing image quality in Android,"android,out-of-memory",https://stackoverflow.com/questions/35812009/how-to-solve-out-of-memory-oom-error-without-reducing-image-quality-in-android,True,out of memory,Memory Consumption,Image,,,,,1,1,1
Memory consumption in Android app exceeds the sum of all bitmaps,"android,android-bitmap",https://stackoverflow.com/questions/35807865/memory-consumption-in-android-app-exceeds-the-sum-of-all-bitmaps,True,memory consumption,Memory Consumption,"Resource
Image",,,,,1,1,1
High CPU usage when playing GIFs,"android,gif,android-glide",https://stackoverflow.com/questions/35805000/high-cpu-usage-when-playing-gifs,True,cpu usage,CPU Usage,Image,,,,,1,1,1
Memory leak using Lollipop&#39;s transitions,"android,memory-leaks,android-transitions",https://stackoverflow.com/questions/35791795/memory-leak-using-lollipops-transitions,True,memory leak,Memory Consumption,Fragment,I'm trying to implement transition between fragment (that attached to the MainActivity) with RecyclerView and the DetailActivity.,,,,1,1,1
EditText memory leak,"android,memory-leaks,leakcanary",https://stackoverflow.com/questions/35780166/edittext-memory-leak,True,memory leak,Memory Consumption,Activity,,,,,1,1,1
Fragment - Global view variable vs local and inner class listeners and memory leak,"android,android-fragments,view,memory-leaks",https://stackoverflow.com/questions/35759079/fragment-global-view-variable-vs-local-and-inner-class-listeners-and-memory-le,True,memory leak,Memory Consumption,"Object Creation
Fragment",,,,,1,1,1
OsmDroid MyLocationNewOverlay.enableMyLocation() cause memory leak,"android,memory-leaks,osmdroid,mylocationoverlay",https://stackoverflow.com/questions/35726790/osmdroid-mylocationnewoverlay-enablemylocation-cause-memory-leak,True,memory leak,Memory Consumption,Resource,"There is a memory leak in my app that is using OsmDroid. After some search, I found the leak is caused by the MyLocationNewOverlay.enableMyLocation() method:

If I comment that line out, there will be no memory leak. I think I forgot to deregister the location listener at onPause() or OnStop(). So I try to deregister it at onPause() by using:

However, the leak still occurs. I even tried to remove the whole mMyLocationNewOverlay but it still doesn't work. I am wondering what is the proper way to deregister the location listener in OsmDroid and fix the memory leak?

Shortly after I posted the question, I found the solution myself. In short, the solution is whenever a new MyLocationNewOverlay is added, the old MyLocationNewOverlay must be disabled BEFORE removal by calling:

Simply removing the overlay wouldn't work because the callback is still holding the reference of the overlay.

Of course, the best practice is to have only one MyLocationNewOverlay and manage the same (I made the mistake of adding a new one). I hope this will help someone with the same problem.",,,,1,1,1
How do I make a puzzle app in droid without running out of memory?,"android,crop,puzzle,android-bitmap,porter-duff",https://stackoverflow.com/questions/35706406/how-do-i-make-a-puzzle-app-in-droid-without-running-out-of-memory,True,out of memory,"Responsiveness
Memory Consumption",Image,"I notice that other puzzle apps from the google play store can go up to as many as 400 separate movable puzzle pieces
I have been attempting to learn how to at least take an image that will represent my puzzle, Crop certain sections and mask the image space that is left with a puzzle piece design in order to create my individual puzzle pieces
I want to max out with 20 pieces for my app but so far according to my android studio memory log once bitmap factory is done creating one puzzle piece I’m using up around 18mb of memory, after 20 pieces are created along with all the other functions of the app I’m using up 400+mb of memory which I must use “largeHeap=true” to keep from running out of memory, but I’m so close to exceeding those higher limits that the app is super sluggish and enough animated activity will inevitably crash the app
I would love to know what those other play store puzzle apps are doing that I’m not
any input is greatly appreciated
FYI I’m using PNG24 for my images and the dimension on my test image is 556x720
Here is an example if I were to just create one animated-able puzzle piece image


Simply just use vectors instead of images.. you will save much memory for running app and storage. Its supported very well. and you can use SVG resources",example,,,1,1,1
Web Audio API latency on Android,"android,audio,web",https://stackoverflow.com/questions/35701015/web-audio-api-latency-on-android,True,latency,Responsiveness,No,,,,,1,0,1
out of memory error with relatively few images in layout xml of android app,"android,memory-management,bitmap,out-of-memory",https://stackoverflow.com/questions/35700328/out-of-memory-error-with-relatively-few-images-in-layout-xml-of-android-app,True,out of memory,Memory Consumption,No,,,,,1,1,1
how to decode byte array to bitmap without OOM Exception,"java,android,bitmap,out-of-memory,bitmapfactory",https://stackoverflow.com/questions/35676593/how-to-decode-byte-array-to-bitmap-without-oom-exception,True, oom ,Memory Consumption,Image,,,,,1,1,1
Save Android WebView cache as Data Storage,"android,android-webview",https://stackoverflow.com/questions/35664857/save-android-webview-cache-as-data-storage,True,data storage,No,No,,,,,0,0,0
Internet usage(Data usage) by WebView,"android,android-webview,android-data-usage",https://stackoverflow.com/questions/35599732/internet-usagedata-usage-by-webview,True,data usage,No,No,,,,,0,0,0
Run out of memory when posting photo to database android,"java,android,imageview,arrays,android-volley",https://stackoverflow.com/questions/35564322/run-out-of-memory-when-posting-photo-to-database-android,True,out of memory,Responsiveness,"Image
Main Thread",,,,,1,1,1
Android Out Of Memory Exception storing huge amount of bytes,"java,android,out-of-memory,arrays",https://stackoverflow.com/questions/35563445/android-out-of-memory-exception-storing-huge-amount-of-bytes,True,out of memory,Memory Consumption,"Image
Object Creation
Massive Data",,,,,1,1,1
Memory leak in loop,"android,android-asynctask",https://stackoverflow.com/questions/35549263/memory-leak-in-loop,True,memory leak,Memory Consumption,Loop,,,,,1,1,1
Android App Crashes on Some Devices showing out of memory Error despite of small size images,"android,android-layout,android-fragments",https://stackoverflow.com/questions/35503464/android-app-crashes-on-some-devices-showing-out-of-memory-error-despite-of-small,True,out of memory,Memory Consumption,No,,,,,1,1,1
"Recycler NetworkImageView Scrolling back and forward, out of memory and resizing issues","android,image,android-recyclerview,android-volley",https://stackoverflow.com/questions/35493756/recycler-networkimageview-scrolling-back-and-forward-out-of-memory-and-resizing,True,out of memory,Memory Consumption,Image,,,,,1,1,1
AndroidImageSlider library memory leak,"android,memory-leaks",https://stackoverflow.com/questions/35489153/androidimageslider-library-memory-leak,True,memory leak,No,No,,,,,0,0,0
Out of Memory error after using app for more than 5-10 mins,"android,out-of-memory,layout-inflater",https://stackoverflow.com/questions/35447883/out-of-memory-error-after-using-app-for-more-than-5-10-mins,True,out of memory,Memory Consumption,No,,,,,1,1,1
Android LruCache cache size parameter,"android,android-lru-cache",https://stackoverflow.com/questions/38747158/android-lrucache-cache-size-parameter,True,cache size,No,No,,,,,0,0,0
detect memory leak from MAT,"android,memory-management,memory-leaks,eclipse-memory-analyzer",https://stackoverflow.com/questions/38717594/detect-memory-leak-from-mat,True,memory leak,No,No,,,,,0,0,0
How to minimize an android app&#39;s cache size,"android,caching,launching",https://stackoverflow.com/questions/38717553/how-to-minimize-an-android-apps-cache-size,True,cache size,No,No,,,,,0,0,0
APK Size increased dramatically with appcompat-v7:23.4.0,"android,gradle,apk,android-appcompat",https://stackoverflow.com/questions/38694126/apk-size-increased-dramatically-with-appcompat-v723-4-0,True,apk size,Storage Consumption,No,,,,,1,1,1
Handler memory leaks,"android,memory-leaks",https://stackoverflow.com/questions/38680598/handler-memory-leaks,True,memory leak,Memory Consumption,No,,,,,0,1,1
Recursive function using volley out of memory error,"java,android,recursion,android-volley,stack-overflow",https://stackoverflow.com/questions/38674924/recursive-function-using-volley-out-of-memory-error,True,out of memory,Memory Consumption,"Object Creation
Recursive Call",,,,,1,1,1
Android Subtle Memory leak analysis using MAT,"java,android,multithreading,memory-leaks",https://stackoverflow.com/questions/38662817/android-subtle-memory-leak-analysis-using-mat,True,memory leak,Memory Consumption,No,,,,,1,1,1
Long polling vs server events in context of mobile device and data usage,"android,push-notification",https://stackoverflow.com/questions/38645012/long-polling-vs-server-events-in-context-of-mobile-device-and-data-usage,True,data usage,Internet Data Usage,HTTP Request,"Long polling simulates real-time communication by repeatedly initiating HTTP requests, which results in increased data usage
",,,,1,1,1
"setMyLocationEnabled(true) is unresponsive, slow refresh rate","java,android,google-maps",https://stackoverflow.com/questions/38623393/setmylocationenabledtrue-is-unresponsive-slow-refresh-rate,True,unresponsive,Responsiveness,No,,,,,0,1,1
Activity Memory Leak reported by LeakCanary - WindowManagerGlobal,"android,memory-leaks,android-windowmanager,leakcanary",https://stackoverflow.com/questions/38609415/activity-memory-leak-reported-by-leakcanary-windowmanagerglobal,True,memory leak,Memory Consumption,No,,,,,0,1,1
Android oom error on Layout inflation,"java,android,android-fragments",https://stackoverflow.com/questions/38601909/android-oom-error-on-layout-inflation,True, oom ,Memory Consumption,"Resource
Image",,,,,1,1,1
Out Of Memory Error When loading more images in Glide,"java,android,out-of-memory",https://stackoverflow.com/questions/38560637/out-of-memory-error-when-loading-more-images-in-glide,True,out of memory,Memory Consumption,Image,Image Loading,,"Why OutOfMemory error occurred means, when loading more than 200 images in home page, it is loading all 200 images because of using nested scroll view above recyclerview.",I solved this issue by removing nested scroll view placed above recyclerview.,1,1,1
Android Frame by Frame Animation issue out of memory or slow animation,"android,out-of-memory,android-animation,animationdrawable",https://stackoverflow.com/questions/38560505/android-frame-by-frame-animation-issue-out-of-memory-or-slow-animation,True,out of memory,"Memory Consumption
Responsiveness",Image,,,,,1,1,1
Large memory consumption when setting background to dialog,"android,performance,android-memory",https://stackoverflow.com/questions/38553218/large-memory-consumption-when-setting-background-to-dialog,True,memory consumption,Memory Consumption,"Resource
Image",,,,,1,1,1
Android Constrain Layout use too many memory (ram) (memory leak),"android,android-layout,android-constraintlayout",https://stackoverflow.com/questions/38545319/android-constrain-layout-use-too-many-memory-ram-memory-leak,True,memory leak,Memory Consumption,Third-Party Library,"Library Dependency
alpha4, new version, consume more memory (400M)
alpha3, old version, consume 15MB",,different library version,change library version,1,1,1
android rabbitmq client connection out of memory,"android,rabbitmq,out-of-memory",https://stackoverflow.com/questions/38522835/android-rabbitmq-client-connection-out-of-memory,True,out of memory,Memory Consumption,"Configuration
Background Thread",,,,,1,1,1
Difference in apk size while installing from appstore,"android,google-play,apk",https://stackoverflow.com/questions/38518091/difference-in-apk-size-while-installing-from-appstore,True,apk size,No,No,,,,,1,0,0
Android - UI rendering problems when using getbase.floatingactionbutton library,"android,floating-action-button",https://stackoverflow.com/questions/38513958/android-ui-rendering-problems-when-using-getbase-floatingactionbutton-library,True,UI rendering,No,No,,,,,1,0,0
Out Of Memory Android Error,"java,android,sqlite,android-fragments",https://stackoverflow.com/questions/38512190/out-of-memory-android-error,True,out of memory,Memory Consumption,No,,,,,1,1,1
Revmob Unity Out Of Memory Issue in Android,"android,unity-game-engine,revmob,revmobads",https://stackoverflow.com/questions/38501022/revmob-unity-out-of-memory-issue-in-android,True,out of memory,Memory Consumption,"Resource
Image",,,,,1,1,1
Memory leak in the empty Activity,"android,memory-leaks,leakcanary",https://stackoverflow.com/questions/38470388/memory-leak-in-the-empty-activity,True,memory leak,Memory Consumption,Activity,,,,"Your RefWatcher should be in the onDestroy() method, not onCreate() (see a similar reported issue here).

You don't even need to do this, since LeakCanary watches Activity references automatically. From the FAQ:",1,1,1
Whats the optimal/less-error-prone cache size for OkHttp client (used with exoplayer),"android,caching,retrofit2,okhttp",https://stackoverflow.com/questions/38461823/whats-the-optimal-less-error-prone-cache-size-for-okhttp-client-used-with-exopl,True,cache size,NO,No,,,,,1,0,0
Android application out of memory without dealing with images,android,https://stackoverflow.com/questions/38439467/android-application-out-of-memory-without-dealing-with-images,True,out of memory,Memory Consumption,"Massive Data
Object Creation
Third-Party Library",,,,,1,1,1
Application shows out of Memory Exception and crashed,android,https://stackoverflow.com/questions/38430177/application-shows-out-of-memory-exception-and-crashed,True,out of memory,Memory Consumption,"Object Creation
Massive Data
View",,,,,1,1,1
Android Out of memory small bitmap,"android,memory,memory-management,bitmap",https://stackoverflow.com/questions/38419454/android-out-of-memory-small-bitmap,True,out of memory,Memory Consumption,"Activity
Image",,,,,1,1,1
Out of memory exception while loading image to imageview,"android,out-of-memory,android-imageview",https://stackoverflow.com/questions/38412581/out-of-memory-exception-while-loading-image-to-imageview,True,out of memory,Memory Consumption,"Image
File Handling",,,,,1,1,1
"PouchDb with SQLite, out of memory error on query","android,sqlite,cordova,pouchdb",https://stackoverflow.com/questions/38352167/pouchdb-with-sqlite-out-of-memory-error-on-query,True,out of memory,Memory Consumption,Database Operation,,,,"Instead of directly inserting large binary strings into your documents, you should use attachments. These will ensure that when you do operations that don't touch attachments (such as queries, allDocs(), etc.), PouchDB won't read the attachments into memory. This should fix your Out Of Memory issues.",1,1,1
Limiting Square Picasso&#39;s cache size to 60MB max,"android,picasso",https://stackoverflow.com/questions/38321950/limiting-square-picassos-cache-size-to-60mb-max,True,cache size,Memory Consumption,"Third-Party Library
Image",,,,,1,1,1
libgdx: Why does my custom actor have a memory leak?,"java,android,memory-management,memory-leaks,libgdx",https://stackoverflow.com/questions/38304895/libgdx-why-does-my-custom-actor-have-a-memory-leak,True,memory leak,Memory Consumption,"Object Creation
Resource",,,,,1,1,1
Java mmap fails on Android with &quot;mmap failed: ENOMEM (Out of memory)&quot;,"java,android,memory-management,android-ndk,mmap",https://stackoverflow.com/questions/38293892/java-mmap-fails-on-android-with-mmap-failed-enomem-out-of-memory,True,out of memory,Memory Consumption,"Massive Data
Configuration",,,,,1,1,1
heap out of Memory E/dalvikvm-heap: Out of memory on a 383385715-byte allocation,"java,android",https://stackoverflow.com/questions/38279445/heap-out-of-memory-e-dalvikvm-heap-out-of-memory-on-a-383385715-byte-allocation,True,out of memory,Memory Consumption,"Object Creation
File Handling",,,,,1,1,1
"android recycler view adapters, viewpagers, databases, bitmaps and out of memory errors","android,android-fragments,bitmap,arrays,android-adapter",https://stackoverflow.com/questions/38275514/android-recycler-view-adapters-viewpagers-databases-bitmaps-and-out-of-memory,True,out of memory,Memory Consumption,"Image
AsyncTask",,,,,1,1,1
Java Out of Memory Exception While Reading Database,"java,android,out-of-memory,android-sqlite",https://stackoverflow.com/questions/38247962/java-out-of-memory-exception-while-reading-database,True,out of memory,Memory Consumption,"Object Creation
Massive Data
Database Operation",,,,,1,1,1
Facebook NativeAdsManager getting out of memory exception in RecyclerView,"android,facebook,android-recyclerview,native-ads",https://stackoverflow.com/questions/38247220/facebook-nativeadsmanager-getting-out-of-memory-exception-in-recyclerview,True,out of memory,Memory Consumption,Image,,,,,1,1,1
How do I set the cache size of FirebaseDatabase in the new FirebaseDatabase API for Android?,"android,caching,firebase,firebase-realtime-database",https://stackoverflow.com/questions/38234473/how-do-i-set-the-cache-size-of-firebasedatabase-in-the-new-firebasedatabase-api,True,cache size,No,No,,,,,0,1,0
Volley library getting out of memory error,"android,android-volley",https://stackoverflow.com/questions/38206161/volley-library-getting-out-of-memory-error,True,out of memory,Memory Consumption,Massive Data,,,,,1,1,1
Out of memory on a 65536016-byte allocation using glide library android,"java,android,memory,memory-management,android-glide",https://stackoverflow.com/questions/38183883/out-of-memory-on-a-65536016-byte-allocation-using-glide-library-android,True,out of memory,Memory Consumption,"Object Creation
Image
Resource",,,,,1,1,1
Memory Leak in Android application,"android,memory-leaks,memory-leak-detector",https://stackoverflow.com/questions/38181386/memory-leak-in-android-application,True,memory leak,Memory Consumption,Object Creation,,,,,1,1,1
Out of Memory Error while Debugging on android device,"android,android-studio,android-debugging",https://stackoverflow.com/questions/38169857/out-of-memory-error-while-debugging-on-android-device,True,out of memory,Memory Consumption,"Image
Resource",,,,,1,1,1
Android/Java - Out of Memory Exception with Dream Service,"java,android,bitmap,out-of-memory",https://stackoverflow.com/questions/38146765/android-java-out-of-memory-exception-with-dream-service,True,out of memory,Memory Consumption,"Image
Service",,,,,1,1,1
Android big image downloading prob : Out of memory,"android,image,download,out-of-memory",https://stackoverflow.com/questions/38144533/android-big-image-downloading-prob-out-of-memory,True,out of memory,Memory Consumption,"Image
AsyncTask",,,,,1,1,1
Getting deepest details of Android Data Usage history,"android,linux,network-programming",https://stackoverflow.com/questions/38090264/getting-deepest-details-of-android-data-usage-history,True,data usage,No,No,,,,,0,1,0
Realm latency between writes in the background thread and retrieving objects in the UI thread?,"android,multithreading,background,realm",https://stackoverflow.com/questions/38084702/realm-latency-between-writes-in-the-background-thread-and-retrieving-objects-in,True,latency,Responsiveness,"Background Thread
Main Thread",,,,,1,1,1
BitmapFactory.decodeResource out of memory,"android,bitmap",https://stackoverflow.com/questions/38084609/bitmapfactory-decoderesource-out-of-memory,True,out of memory,Memory Consumption,"Image
Resource",,,,,1,1,1
Android webview unresponsive after long sleep,"android,webview,android-lifecycle",https://stackoverflow.com/questions/38067401/android-webview-unresponsive-after-long-sleep,True,unresponsive,Responsiveness,Activity,,,"Due to the Toast messages inside for debugging, I noticed that after a long sleep, Android apparently kills my activity and the onCreate is called again. The thing I did not account for was webview.restoreState not restoring everything about the webview.

It does not restore anything inside the ""else"" block above. In effect, anything that was setup during that time disappears. Therefore, only the website was saved and none of the WebView and WebChrome client were.

This caused the behavior mentioned above.

By moving setup block from the ""else"" block outside of it, my webview was able to set itself up again with the necessary settings.

Added Info: I also removed the onRestoreInstanceState() protected function as it does not seem to be doing anything where I am concerned.

Comments and suggestions are still welcome in case I overlooked anything in the solution. Thanks.",,1,1,1
Unresponsive Android BroadcastReceiver in Phonegap Plugin,"android,cordova,android-intent,alarmmanager,android-broadcastreceiver",https://stackoverflow.com/questions/38058580/unresponsive-android-broadcastreceiver-in-phonegap-plugin,True,unresponsive,No,No,,,,,0,1,0
Realm android application crash: io.realm.exceptions.RealmError: Unrecoverable error. mmap() failed: Out of memory size,"java,android,database,realm",https://stackoverflow.com/questions/38051678/realm-android-application-crash-io-realm-exceptions-realmerror-unrecoverable-e,True,out of memory,Memory Consumption,"Object Creation
Massive Data
Database Operation",,,,,1,1,1
Xamarin CocosSharp 2D CCDrawNode memory leak,"c#,android,xamarin,memory-leaks,cocossharp",https://stackoverflow.com/questions/38034050/xamarin-cocossharp-2d-ccdrawnode-memory-leak,True,memory leak,Memory Consumption,"Object Creation
Resource",,,,,1,1,1
determining device storage space not working: android,"java,android,storage",https://stackoverflow.com/questions/38021107/determining-device-storage-space-not-working-android,True,storage space,Storage Consumption,No,,,,,1,1,1
Twilio android sdk increased app size 36 MB can it be reduced?,"android,twilio",https://stackoverflow.com/questions/38014073/twilio-android-sdk-increased-app-size-36-mb-can-it-be-reduced,True,app size,Storage Consumption,Configuration,,,,,1,1,1
Clarifying the use of maxReportLatencyUs in SensorManager.registerListener,"android,android-sensors,sensormanager",https://stackoverflow.com/questions/37984425/clarifying-the-use-of-maxreportlatencyus-in-sensormanager-registerlistener,True,latency,Energy Consumption,Resource,,,,,1,1,1
Android: OnClickListener unresponsive on Initial Load?,"java,android,android-fragments,android-tv",https://stackoverflow.com/questions/37975409/android-onclicklistener-unresponsive-on-initial-load,True,unresponsive,No,No,,,,,1,0,0
Application Not Responding After Launching ACTION_VIEW Intent,"android,android-intent",https://stackoverflow.com/questions/37971927/application-not-responding-after-launching-action-view-intent,True,application not responding,Responsiveness,No,,,,,1,1,1
Out of memory Exception in ListView and pagerview together,"android,listview,android-viewpager,out-of-memory,fragmentstatepageradapter",https://stackoverflow.com/questions/37960677/out-of-memory-exception-in-listview-and-pagerview-together,True,out of memory,Memory Consumption,"Fragment
Data Type
View",,,,,1,1,1
adding images in ListView shows out of memory,"android,listview",https://stackoverflow.com/questions/37959578/adding-images-in-listview-shows-out-of-memory,True,out of memory,Memory Consumption,Image,,,,,1,1,1
Recreating activity cause Out Of Memory error,"android,memory-management,memory-leaks,out-of-memory,android-theme",https://stackoverflow.com/questions/37948276/recreating-activity-cause-out-of-memory-error,True,out of memory,Memory Consumption,"Object Creation
Resource
Singleton",,,,,1,1,1
RecyclerView ANR during fast fling,"android,android-recyclerview",https://stackoverflow.com/questions/71296782/recyclerview-anr-during-fast-fling,True, ANR ,Responsiveness,View,,,,,1,1,1
android - prebuild project apk size increased in target folder,android,https://stackoverflow.com/questions/71240980/android-prebuild-project-apk-size-increased-in-target-folder,True,apk size,Storage Consumption,Configuration,,,,,1,1,1
Is there a way to ahead detect ANR programmatically in production?,"android,android-anr-dialog,android-strictmode",https://stackoverflow.com/questions/71190567/is-there-a-way-to-ahead-detect-anr-programmatically-in-production,True, ANR ,Responsiveness,Main Thread,,,,,1,1,1
How to collect &quot;Slow rendering&quot; and &quot;Frozen frames&quot; timings for individual screens in Flutter?,"android,ios,firebase,flutter,firebase-performance",https://stackoverflow.com/questions/71182583/how-to-collect-slow-rendering-and-frozen-frames-timings-for-individual-scree,True,"Slow rendering
frozen Frames",Responsiveness,"UI Rendering
Dynamic UI Loading",,,,,1,1,1
facebook or Uber react native app size is so small,"java,android,react-native,google-play",https://stackoverflow.com/questions/71153700/facebook-or-uber-react-native-app-size-is-so-small,True,app size,No,No,,,,,1,0,0
Any idea what can cause an ANR on android.graphics.HardwareRenderer.nSyncAndDrawFrame?,"android,android-anr-dialog",https://stackoverflow.com/questions/71128954/any-idea-what-can-cause-an-anr-on-android-graphics-hardwarerenderer-nsyncanddraw,True, ANR ,Responsiveness,"UI Rendering
Main Thread",,,,,1,1,1
Is there a way to allocate a Bitmap in JNI and use it in Java to avoid OOM error,"android,image-processing,java-native-interface,android-canvas,android-bitmap",https://stackoverflow.com/questions/71003772/is-there-a-way-to-allocate-a-bitmap-in-jni-and-use-it-in-java-to-avoid-oom-error,True, oom ,Memory Consumption,"Object Creation
Image",,,,,1,1,1
OnePlus and Huawei detect &quot;Disable Data Usage&quot; enabled for my app,"android,huawei-developers,oneplusone",https://stackoverflow.com/questions/70967809/oneplus-and-huawei-detect-disable-data-usage-enabled-for-my-app,True,data usage,No,No,,,,,1,0,0
"Lambdas. Memory leak, Xamarin Android","c#,android,memory-leaks,xamarin.android",https://stackoverflow.com/questions/70960347/lambdas-memory-leak-xamarin-android,True,memory leak,Memory Consumption,No,,,,,0,1,1
How to prevent to my Xamarin app not be crashed at run time or ANR Pop ups,"java,android,xamarin,xamarin.android",https://stackoverflow.com/questions/70952981/how-to-prevent-to-my-xamarin-app-not-be-crashed-at-run-time-or-anr-pop-ups,True, ANR ,Responsiveness,"Service
Main Thread",,,,,1,1,1
How to fix Dialog Fragment memory leak?,"java,android,leakcanary",https://stackoverflow.com/questions/70931443/how-to-fix-dialog-fragment-memory-leak,True,memory leak,Memory Consumption,Fragment,,,,,1,1,1
