commit_Link,commit_Title,commit_Description,issue_Id,issue_link,matched_keywords
https://github.com/wikimedia/apps-android-wikipedia/commit/b184b150d7ac6b953b999b84ddfc656a83afb17b,Fix possible memory leak in feed.,"I've observed a memory leak (on API 17) apparently stemming from the new
functionality to fill in the bookmark icon when the featured article is
detected to be part of a reading list.

This seems to be caused by us passing an anonymous instance of a
CallbackTask.Callback object from FeaturedArticleView, which contains
references to $this, which contains a reference to the activity context.

This patch solves the leak by modifying the CallbackTask to no longer hold
on to a reference of Callback, and instead null it out immediately after
it's called.

Change-Id: I768e24dab7f39652ec741a5d6f9821db7de4f2bd",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/e952333d54f10e7919850e03844409d32874c1fc,Fix: try to avoid out of memory errors when detecting faces,"If users are bumping against the memory limit, they will probably
experience other issues but it might be worth guarding against frequent
and non-critical OutOfMemoryErrors occurring during face detection

Change-Id: I33c46374243527b6464ea5b56b4d6625d2eaf85c",,,out of memory
https://github.com/wikimedia/apps-android-wikipedia/commit/85b7878f2ba48cc367cd7c62c50f64d7b59ac2f5,"Merge ""Fix possible memory leak(s) in feed.""",,,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/9fb372594c8da7d7bb27da6f520e9166211c362a,Fix possible memory leak(s) in feed.,"Observed in API 17, certain Clients that provide feed content seem
to retain a reference to a Context, which in this case is MainActivity.

This patch provides the FeedCoordinator with an Application context
instead of an Activity context, so that it won't matter if the coordinator
(or any Clients to which it passes the Context) holds on to the Context
longer than necessary.

Change-Id: Ia2603d0ccf57889d84a81d1b90f71cc88f78884d",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/958be7b1e3e93c687a3ce5cfbeeb1d3f09d53e25,"Merge ""Fix possible memory leak in BottomSheetPresenter.""",,,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/ebee3d62cbc14594c492ca949cc99a7358f7df16,Fix possible memory leak in BottomSheetPresenter.,"I've observed a memory leak in API 23, which seems to be caused by our
BottomSheetPresenter holding on to a reference of FragmentManager.

This patch updates the Presenter to always accept FragmentManager as a
parameter, and also lightly refactors the way that we launch the
AddToReadingListDialog.

Change-Id: I930ef47b5ae39f32cdd7659e00ac09780f1ad88d",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/133e6fd22ad75d9971a77af197592348b8756918,Integrate leakcanary into Dev build.,"This integrates leakcanary[0] into our builds, in the following way:
- I added a developer preference that will enable LeakCanary when running a
  Dev-flavor build. (LeakCanary should not always be enabled, since it
  can cause nuisance leak reports or false-positives. It should be enabled
  when performing an ""audit"" for leaks.) Make sure to restart the app when
  turning on/off the developer preference.
- For non-Dev builds, the code will automatically use a no-op reference
  watcher. (The preference for watching memory leaks will have no effect.)

[0]https://github.com/square/leakcanaryChange-Id: I827028322054d767a222ee51265890f56181afab",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/738514425eec0863dd15784a0e3ff9c192bdc8bb,Do not allow getStringSet() to be modified,"Unconditionally prohibit modifications to the result of
SharedPreferences.getStringSet(). The Javadocs warn:

  Note that you must not modify the set instance returned by this call.
  The consistency of the stored data is not guaranteed if you do, nor is
  your ability to modify the instance at all.

This seems like it would have the potential to cause data loss
sporadically.

Change-Id: I01221423aab52f29a5a9066a7cbdbbc10e4f0c90",,,data loss
https://github.com/wikimedia/apps-android-wikipedia/commit/6bc49d02587e3b433120012e7707c267c2993675,Avoid Fragment IllegalStateException,"Allowing state loss isn't best practice but custom handling of Fragments
rarely works well. This workaround was intended forf96ce1fand should
be eliminated inT145834.

  java.lang.RuntimeException: Failure delivering result ResultInfo{who=null, request=65581, result=-1, data=Intent { (has extras) }} to activity {org.wikipedia.beta/org.wikipedia.MainActivity}: java.lang.IllegalStateException: Can not perform this action after onSaveInstanceState
     at android.app.ActivityThread.deliverResults(ActivityThread.java:3384)
     at android.app.ActivityThread.handleSendResult(ActivityThread.java:3427)
     at android.app.ActivityThread.access$1300(ActivityThread.java:139)
     at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1248)
     at android.os.Handler.dispatchMessage(Handler.java:102)
     at android.os.Looper.loop(Looper.java:136)
     at android.app.ActivityThread.main(ActivityThread.java:5103)
     at java.lang.reflect.Method.invokeNative(Native Method)
     at java.lang.reflect.Method.invoke(Method.java:515)
     at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:790)
     at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:606)
     at dalvik.system.NativeStart.main(Native Method)
  Caused by: java.lang.IllegalStateException: Can not perform this action after onSaveInstanceState
     at android.support.v4.app.FragmentManagerImpl.checkStateLoss(FragmentManager.java:1527)
     at android.support.v4.app.FragmentManagerImpl.enqueueAction(FragmentManager.java:1545)
     at android.support.v4.app.BackStackRecord.commitInternal(BackStackRecord.java:654)
     at android.support.v4.app.BackStackRecord.commit(BackStackRecord.java:621)
     at org.wikipedia.MainFragment.openSearchFragment(MainFragment.java:423)
     at org.wikipedia.MainFragment.onActivityResult(MainFragment.java:129)
     at android.support.v4.app.FragmentActivity.onActivityResult(FragmentActivity.java:165)
     at android.app.Activity.dispatchActivityResult(Activity.java:5467)
     at android.app.ActivityThread.deliverResults(ActivityThread.java:3380)
     ... 11 morehttps://rink.hockeyapp.net/manage/apps/226650/app_versions/48/crash_reasons/137015016Change-Id: I6ebdeea38b7925f230060f681828bea0cdcfb508",,,state loss
https://github.com/wikimedia/apps-android-wikipedia/commit/d4e4d49a7da531d2e1496e8531d556c563d7fda5,"Merge ""Fix memory leak related to HockeySDK""",,,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/5e761fd964966f8916054dfa96e13f9263920693,Fix memory leak related to HockeySDK,"The current HockeySDK has a known issue that can leak an Activity, if the
MetricsManager is initialized with the Activity's context. For some
reason, MetricsManager asks for both an Application context and an
Activity context, when in fact it seems to function identically when
initialized with just the Application context.bitstadium/HockeySDK-Android#166Bug:T139945Change-Id: I059f1af67d5c5a6c1d2485eb5dd2d4f37cc42d1a",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/04ffd3e718e3854b808234ce4d5f68a330103dd2,"Merge ""Fix memory leaks (for real!), part 1.""",,,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/7adea3809b62940b388fb9ef5a7edc6fbf7b26eb,"Fix memory leaks (for real!), part 1.","My ongoing search has finally yielded some tangible nuggets.
Exhibit A: Adding a TextWatcher to a TextView, but never removing it! (The
TextWatcher holds a reference to the fragment, thereby leaking it)

Also, now explicitly removing the onItemClick and onItemLongClick
listeners from the ListView, since this seems to lead to a leak in
API <20.

Change-Id: I497ebd37f3059b420622416a66ee5b87a15a2d0c",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/26c544b57f0606fb39c8cd1a9e79b4d413aaf53f,Don't use javascript bridge for copying to clipboard.,"When passing the text selection from the WebView to the Java layer, we
limit the number of characters on the WebView side, which is not a bad
thing, because a large enough selection can lead to an OOM error.

However, for the purpose of copying the selection to the clipboard, it can
be a hindrance to limit the number of characters, and is confusing to the
user. This patch copies the selected text by simulating a ""Ctrl-C""
keyboard event, and dispatches it to the WebView, which causes it to copy
the selection to the clipboard natively.

Additionally, this allows the copied text to preserve any *formatting*
and/or links, instead of simply copying plain text.

Change-Id: I935cf1d9dc8ac78650b76c6e8cfb758114dea4ac",,, oom 
https://github.com/wikimedia/apps-android-wikipedia/commit/2a261dc2c2664707f63ad726d505d8a27b928c7c,Fix memory issues when switching between different Fragments.,"...In which I slightly modify (simplify?) the way we place and exchange our various
fragments inside the container view in our Activity.

This seems to stabilize memory usage when changing back and forth between PageFragment
and other fragments, which is the leading cause of OOM errors at the moment.

This shouldn't change any UX behavior (e.g. back button logic, etc).

Bug:T121759Change-Id: I745a31f23030b60575cd1b071eabc49c092a1b30",,, oom 
https://github.com/wikimedia/apps-android-wikipedia/commit/c97f297852cca30ab53736ac96ff4489df15293d,Revive the session funnel.,"- Re-enabled the session funnel, to be sampled at 1:100 in production and
  1:1 in non-production.
- Updated the funnel to record the number of pages viewed during a
  session, categorized by source.
- Added a new source, to represent pages viewed from the disambiguation
  list (Similar pages).
- The funnel now also records the average latency of the lead section
  request and the rest-of-sections request over the network. It also
  records whether the request is done via the MediaWiki API, or the new
  content service.
- Added a developer preference to set the length of a session for testing
  purposes (default is 30 minutes).

Bug:T111541Change-Id: I600b00c2868a6922c1a0e02c86826e146a8dc2cb",,,latency
https://github.com/wikimedia/apps-android-wikipedia/commit/4cadfa0b3b4f20d38e1c7557176b4da114dc7a3e,Add CI script for testing emulator readiness,"The Android instrumentation tests are failing in a strange way after
upgrading the Android Support libraries[0]:

com.android.builder.testing.api.TestException: com.android.builder.testing.api.DeviceException: com.android.ddmlib.ShellCommandUnresponsiveException

This script performs some device readiness checks and waits as needed
before returning which allows the tests to run successfully again. This
script will be used by CI[1] once merged.

[0]https://gerrit.wikimedia.org/r/#/c/235859/[1]https://gerrit.wikimedia.org/r/#/c/239902/Change-Id: Ib8a04d12ec48fe03c508fcacd355daa20a92b34d",,,unresponsive
https://github.com/wikimedia/apps-android-wikipedia/commit/48cd0badd4e69feabf6f7f0f328ebac5efdcd232,"Hygiene: use repo keystore for debug, dev, & alpha","* Add a public keystore and properties to repo.

  The name ""repo"" is used to avoid confusion with build flavors, build
  types, and key types. i.e., the repo keystore is applicable to more
  than the dev flavor, so don't call it ""dev"", more than the debug build
  type, so don't call it ""debug"", and like any keystore, contains both
  public and private keys so don't call it ""public"".

  Properties could be hardcoded in Groovy, but a properties file allows
  for homogeneous handling of both repo and prod signing configurations.

* Change signing configurations:

  * Override signingConfigs.debug to use repo. It is a little confusing
    to call the repo signing configuration ""debug"" but we don't want the
    implicit debug configuration leaking in. The alternative is to have
    a dummy or redundant debig configuration, each of which is unhappy.

  * Always use repo keystore for debug build types, and dev and alpha
    flavors. Always use prod keystore for all other release flavors. For
    dev and alpha builds, that means signatures are tied to package
    names not build types. e.g., you can install a dev release build on
    top of a dev debug build without uninstalling.

    A dev keystore is recommend by Jake Wharton[0]. Using this keystore
    for alpha builds as well keeps security concerns out of our Jenkins
    alpha job.

    [0]https://twitter.com/jakewharton/status/554242089236828160* Dev and alpha builds have a new signature. Previously distributed
    dev and alpha builds must be uninstalled which will cause data loss.

  * Everyone can install each others' apps without uninstalling.

* Use lowercase.dot instead of UPPERCASE_SNAKE for keystore pre-dex properties.

  UPPERCASE_SNAKE seems unconventional[0].

  [0]https://android.googlesource.com/platform/build/+/master/tools/buildinfo.shTODOs once merged:

  * Send courtesy announcement alerting users that an alpha uninstall is
    necessary.

  * Update locale ~/.sign/signing.properties.

Notes on keystore generation

  # Create a new keystore. Note: some tools guard against usage of
  # keystores without passwords.
  keytool \
    -keystore repo.keystore \
    -keyalg RSA \
    -genkeypair \
    -alias repo \
    -keypass android \
    -storepass android \
    -dname 'CN=Wikimedia Foundation, OU=Mobile, O=Wikimedia Foundation, L=San Francisco, ST=California, C=US' \
    -validity 36524

Notes on keystore validation

  # Convert to intermediate PKCS12.
  keytool \
    -importkeystore \
    -srckeystore repo.keystore \
    -destkeystore repo.p12 \
    -deststoretype PKCS12 \
    -srcstorepass android \
    -storepass android \
    -keypass android

  # Convert to PEM for comparison with known good keys.
  openssl \
    pkcs12 \
    -in repo.p12 \
    -out repo.pem \
    -nodes \
    -passin pass:android

  # Do some diffs against a standard Android debug keystores like
  # Telecine[0] and the release keystore.

  # [0]https://github.com/JakeWharton/Telecine/blob/master/debug.keystoreNotes on signing configuration validation

  # Build all variants.
  ./gradlew -Ppre.dex=false clean assemble

  # Verify APK signature.
  # $1 keystore
  # $2 key alias
  # $3 apk
  verify() {
    jarsigner \
      -verify \
      -strict \
      -sigalg MD5withRSA \
      -digestalg SHA1 \
      -keystore ""$1"" \
      ""$3"" \
      ""$2""
  }
  alias verify-prod='verify prod.keystore prod'
  alias verify-repo='verify repo.keystore repo'

  # Verify all repo variants.
  ls -1 app/build/outputs/apk/{*-debug*,*-dev-*,*-alpha-*} |
  sort -u |
  while IFS= read -r -d $'\n' i; do
    echo ""$i"" &&
    verify-repo ""$i""
  done

  # Verify all prod variants.
  ls -1 app/build/outputs/apk/* |
  grep -Ev 'debug|dev|alpha' |
  while IFS= read -r -d $'\n' i; do
    echo ""$i"" &&
    verify-prod ""$i""
  done

  # Explicitly verify release prod variant.
  verify-prod app/build/outputs/apk/app-prod-release.apk &&
  ! verify-repo app/build/outputs/apk/app-prod-release.apk

  # Be paranoid. Download known good APK and verify.
  scp \
    caesium:/srv/org/wikimedia/releases/mobile/android/wikipedia/stable/wikipedia-2.0.108-releasesprod-2015-08-04.apk \
    . &&
  verify-prod wikipedia-2.0.108-releasesprod-2015-08-04.apk &&
  ! verify-repo wikipedia-2.0.108-releasesprod-2015-08-04.apk

  # Verify app installs and launches devDebyg variant from IDE.

  # Verify IDE respects repo key configuration.
  adb install -r app/build/outputs/apk/app-dev-release.apk

  # Test no prod keystore with dev and alpha debug and release.
  ./gradlew -Ppre.dex=false clean assembleDebug assemble{Dev,Alpha}Release &&
  ls app/build/outputs/apk

Change-Id: I7d562413e9f13be1ea514e47ffb8af94858e47aa",,,data loss
https://github.com/wikimedia/apps-android-wikipedia/commit/8e6a483085490424f936e0b2347e600f7ffe0a82,Reuse the same WebView for article navigation.,"The plan so far:
- PageViewFragmentInternal shall now become a true Fragment (and
  I've deleted the ""old"" PageViewFragment class).  Once this patch
  is merged, we can rename it back to PageViewFragment. I'm not
  renaming it yet, to better keep track of what is changing.
- The new fragment structure of the main activity shall be: a single
  PageViewFragment (to display n pages), and at most one other fragment
  on top of it (History, Saved Pages, Nearby) for selecting pages to
  navigate to.
- Added additional sequencing logic to async tasks that fetch page
  content, so that they correctly invalidate themselves when a new page is
  loaded.

TODO: Perform some additional profiling, and see if there are any
remaining resource leaks.

Change-Id: I40ac4c6f1a0351e7fec7b462d5b950c12fd09122",,,resource leak
https://github.com/wikimedia/apps-android-wikipedia/commit/3c3a551b8d992d4ceb028ed498edc496cfaf3dcb,Fix possible crash(es) related to fragment manager state loss.,"So, in a couple cases in our code, we perform transactions with the
FragmentManager from the result of AsyncTasks. This is technically
frowned-upon, since at that point the task has no way of knowing the state
of the Activity (whether its instanceState has been saved), which can lead
to an exception being thrown when we try to commit() a fragment
transaction.

Fortunately there is a function called commitAllowingStateLoss() which is
designed specifically for this purpose. Therefore I've split off the
functions that deal with fragment transactions, and gave them a parameter
to optionally allow state loss. Going forward, if we need to push a
fragment from an AsyncTask result, we should allow state loss, but *only*
in those cases.  In all other cases, the regular commit() function should
still be used.

Specifically, the cases where we now allow state loss (in this patch) are:
- Fetching a Random page.
- Going to the Main page after changing the Wiki language.

Bug:T75237Change-Id: If01483bb4e8c3e699f668853b7f31b73c01c9e86",,,state loss
https://github.com/commons-app/apps-android-commons/commit/629f222ccb19915be04f023d995d498e53103a0b,Switch to using UIL for Share activity as well,Should fix the OOM issues and be in general more reliable,,, oom 
https://github.com/commons-app/apps-android-commons/commit/11685e5ec1265230096f6332e792120ac2576efa,(Bug 41703) Validate user tokens & re-login if necessary,"Now we send out a request before every upload to check if
the user is logged in. If not, we re-login.

Need to study this more - this adds a little bit of extra latency
to every upload. But if the upload fails because of a login failure,
it will mean we'll have to re-upload the entire thing. Choices.

Also added a debug method to convert XML object to a String. Was
amazed at the power of Java being able to make such a complex task
accomplishable by a single line </s>",,,latency
https://github.com/aeharding/voyager/commit/c9dd8fa845213902cc76e0cd2f124118a6c66db7,Downgrade rehype-highlight for memory leak (,remarkjs/react-markdown#791,#1455,https://github.com/aeharding/voyager/pull/1455,memory leak
https://github.com/opendocument-app/OpenDocument.droid/commit/7277282ea64bef06a0cdb7416981c99ed9884294,catch impossible OOM on some Nexus 4s,,,, oom 
https://github.com/trynoice/android-app/commit/c5b341540539341c64ccdce3891071bb9cbca174,fix anr while loading app shortcuts in the presets fragment,,,, ANR 
https://github.com/trynoice/android-app/commit/d472274d8a9759f8447138609013b43108c54493,fix: ANR on pausing playback,,,, ANR 
https://github.com/trynoice/android-app/commit/924885521c993c3cb56da6296ea38a679c6a52b4,fix: fragment state loss on device orientation change,,,,state loss
https://github.com/ankidroid/Anki-Android/commit/849d7e43ea6d25d02a37e944385eac1a294dde16,fix(release): increase build heap,"release build still failing on OOM during R8 shrink, hopefully this
fixes",,, oom 
https://github.com/ankidroid/Anki-Android/commit/1047989bb6d63510aa6c828e1d0cfa41c3b02398,test(perf): avoid OOM while running big batches of commit tests,"TIL that you can still kill a machine with 64GB+64GB RAM+Swap if
you run enough Kotlin on it. Thanks gradle.",,, oom 
https://github.com/ankidroid/Anki-Android/commit/bd4b810102b0664b2779a3ca609edc5000e5e834,fix: 'RescheduleDialog' memory leak,"* Open Reviewer
* Select ""Reschedule - Reschedule in X Days""
* Close the dialog
* Close the reviewer
* Memory leak",,,memory leak
https://github.com/ankidroid/Anki-Android/commit/d26a90cac278a6bcd97773062949c6e07afc6772,fix(release): workaround gradle OOM by killing daemon after most activities,…vitiesFixes#12594,,, oom 
https://github.com/ankidroid/Anki-Android/commit/1a8efcc3fbff575ed6d10f66db918a67e3f9049b,Migrated CollectionTask. ConfReset to Kotlin Coroutines (,"* Extracted out ConfChangeHandler functions

* Migrated ConfReset to Coroutines

AppCompatPreferenceActivity is not a lifecycleOwner so it doesn't has access to lifecycleScope.launch{}.  To be able to launch coroutines, we need to have a CoroutineScope(SuperviserJob + Dispatcher.Main) instance using which we can launch new children jobs. Any job started from this scope will need to be cancelled in onDestroy to avoid any memory leaks and resource abuse. Here the AppCompatPreferenceActivity extends CoroutineScope whose implementation is delegated by MainScope. We need to explicitly cancel all the jobs started from this scope, so cancel is called in onDestroy.

* removed redundant variable 'context'

* Added docs and moved postConfChange to finally block

 need to call postConfChange in finally because if withCol{} throws an exception, postConfChange would never get called and progress-bar will never get dismissed",#12454,https://github.com/ankidroid/Anki-Android/pull/12454,memory leak
https://github.com/ankidroid/Anki-Android/commit/1f2dc019d520ffcf20006c7ec9f3e3f4332f56a2,build(deps): remove ktlint memory leak workaround,"It appears upstream has fixed the leak as of 0.45.0, so workaround
not needed, and ktlint is now on 0.45.2 anyway, so use that

Can't remove the actual version override that gets us 0.45.x until
the ktlint gradle plugin has a new release but that hasn't happened yet",,,memory leak
https://github.com/ankidroid/Anki-Android/commit/b6431ef39b3fa05c49220d98ae0ce8aa5423549c,feat: Dialog to handle gesture selection,"GestureSelectionDialogBuilder is the main entry point,
A screen with visual feedback allowing gesture selection via
either user action, or via a spinner

The spinner exists to enhance discoverability
of long/double tap gestures

Known Issues:
* Swipe does not appear on <= API 24. A static image is used
* Gesture unicode character not rendered on <= API 22
* Milliseconds of visual latency on taps (due to double tap checking)

Prep for 6052, code partially from 8078",,,latency
https://github.com/ankidroid/Anki-Android/commit/4809c77a444ef2c198a01e7cded26555f0600623,Fix AnkiStatsTaskHandler's AsyncTasks memory leak,"- Replaces the strong references to view objects in AsyncTasks with WeakReferences
- Turns the extended AsyncTasks into static inner classes
- Checks if a weakly referenced object isn't null before using. Attempts to update UI only if view objects exist.",,,memory leak
https://github.com/ankidroid/Anki-Android/commit/63a34e0ce2e7267c5bcbb23790fdf8d5c2478425,Upgrade ankidroid backend to 0.1.4,"* rsdroid-testing: diagnose file not found error
* fix OOM via memory limit on DB row results
* Add Java-based exceptions for rust errorsFixes#8178(hopefully)",,, oom 
https://github.com/ankidroid/Anki-Android/commit/9ab6d44bed5abc19bc6ce983dcdd78b914e36aa9,BugFix: Safe Display - Don't block nav drawer,"For now, the handling of blocking the animation was buggy, so keep showing
animations even if Safe Display Mode is on.

Tapping on the left side of the navigation drawer caused it to partially pop
out, closing it made the entire UI unresponsive.

I had a few tries, but both of these meant that the drawer closed immediately
when it was swiped open.

We might need to copy the navigation drawer code and recode it.

Fixes 7344",,,unresponsive
https://github.com/ankidroid/Anki-Android/commit/2a514b7de209cd500d202397046984dac8a3e15e,CSV Import: Stream CSV File Input,"Ensures that we shouldn't OOM on import

This is for API 26+, so uses Java Streams

From code review on 6772/6773",,, oom 
https://github.com/ankidroid/Anki-Android/commit/24a5a324683998f19138a5ed400d53e5341b8a66,"Tune robolectric to have more memory, and re-fork",More work to reliably not OOM in Travis,,, oom 
https://github.com/ankidroid/Anki-Android/commit/c3612f9d6792a52bbc9711220c27314969c27dcf,Dispose of Robolectric ActivityControllers after tests,This should prevent OOM in Travis,,, oom 
https://github.com/ankidroid/Anki-Android/commit/9c12b9aac281680e793b23cf32d1069dc7772a2d,Gracefully handle WebView Crashes,"*Fix#5780- WebView OOM Crashes Application

Out of Memory issues in the WebView Renderer (e.g. large fonts)
were causing the application to crash and restart, going to the deck
browser.

We catch the OOM using `onRenderProcessGone()` (API >= 26) and recreate
the WebView to allow the application to continue with minor disruption.

If a card has not been rendered, or if the same card fails twice, we
fail gracefully and return to the deck browser.

* Review: Don't crash on unrelated render failure

Documentation states we should not try to clean up unrelated instances
of WebViews.

Returning false will cause a crash. Therefore return true to state
that we don't need to crash.

* Converted WebView crash error dialog to toast

It was an error which showed the card details (id). It's best to allow
the user to explicitly dismiss it, as they may want to screenshot the
details.

* WebView Render crash: Additional fix

Sometimes, even after writing a handler, the application crashed.

I believe that the C++ counts Java references when determining what to
check when a WebView process dies. We perform a GC to ensure these are
cleaned up by the time te C++ executes.

* NF: Fix Typo

* Fix accidental testing code insertion

* Review Change: Coding style",,," oom 
out of memory"
https://github.com/ankidroid/Anki-Android/commit/b96ffdb046285f5dd962955f434fd4d64d5ef99f,Add Mathjax support. (,"* Add Mathjax support.

This adds Mathjax 2.7.0.  It modifies several files in libanki, but I
tried to check them against the originals in Python.

It does not add fading like Anki but rather shows the text as soon
as Mathjax says it is finished.

I have added a few tests.  Some are ported from Anki, and other are
original.

This particular commit does not actually add the Mathjax files.  These
are in the next commit.

* Import Mathjax 2.7.0.

This is an import from the upstream git repository, checked out at the
2.7.0 tag.

* Address PR feedback.

* fix release build OOM w/gradle heap increase

* Use mathjax folder from upstream",#5285,https://github.com/ankidroid/Anki-Android/pull/5285, oom 
https://github.com/ankidroid/Anki-Android/commit/e2cb5e815cbddb3865e91f77e1112589ed00243a,Merge pull request,Remove latency for long-tap to work in Browser,#4193,https://github.com/ankidroid/Anki-Android/pull/4193,latency
