keyword,title,publication,matched_venue,remain,analyzed
mobile_performance,Performance comparison of mobile support strategies,MobiCom '95: Proceedings of the 1st annual international conference on Mobile computing and networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_performance,Poster: collective mobile sensing for wireless network performance monitoring,"MobiSys '11: Proceedings of the 9th international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_performance,CTG: a connectivity trace generator for testing the performance of opportunistic mobile systems,ESEC-FSE '07: Proceedings of the the 6th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering,fse ,no,no need
smartphone_energy,"BaMbI, a battery free and energy harvesting smartphone","MobiSys '22: Proceedings of the 20th Annual International Conference on Mobile Systems, Applications and Services","mobisys 
international conference on mobile systems, applications and services",no,no need
smartphone_energy,"Smartphone Background Activities in the Wild: Origin, Energy Drain, and Optimization",MobiCom '15: Proceedings of the 21st Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
smartphone_energy,Performance-Energy Trade-offs in Smartphones,"MSWiM '16: Proceedings of the 19th ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",mswim ,no,no need
smartphone_energy,Energy-delay tradeoffs in smartphone applications,"MobiSys '10: Proceedings of the 8th international conference on Mobile systems, applications, and services",mobisys ,no,no need
smartphone_energy,Flexible And Effective Energy Management In Smartphones,PhDForum '15: Proceedings of the 2015 on MobiSys PhD Forum,mobisys ,no,no need
smartphone_energy,Making web applications more energy efficient for OLED smartphones,ICSE 2014: Proceedings of the 36th International Conference on Software Engineering,"icse
international conference on software engineering",yes,only target problem
smartphone_energy,Energy-efficient positioning for smartphones using Cell-ID sequence matching,"MobiSys '11: Proceedings of the 9th international conference on Mobile systems, applications, and services",mobisys ,no,no need
smartphone_energy,Where is the energy spent inside my app?: fine grained energy accounting on smartphones with Eprof,EuroSys '12: Proceedings of the 7th ACM european conference on Computer Systems,eurosys ,yes,yes
smartphone_energy,Improving energy efficiency of location sensing on smartphones,"MobiSys '10: Proceedings of the 8th international conference on Mobile systems, applications, and services",mobisys ,no,no need
smartphone_energy,Energy-efficient rate-adaptive GPS-based positioning for smartphones,"MobiSys '10: Proceedings of the 8th international conference on Mobile systems, applications, and services",mobisys ,no,no need
smartphone_energy,Poster: Energy-efficient Web Browsing in Smartphones,"MobiSys '16 Companion: Proceedings of the 14th Annual International Conference on Mobile Systems, Applications, and Services Companion",mobisys ,no,no need
smartphone_energy,What is keeping my phone awake?: characterizing and detecting no-sleep energy bugs in smartphone apps,"MobiSys '12: Proceedings of the 10th international conference on Mobile systems, applications, and services",mobisys ,yes,yes
smartphone_energy,Wireless wakeups revisited: energy management for voip over wi-fi smartphones,"MobiSys '07: Proceedings of the 5th international conference on Mobile systems, applications and services","mobisys 
international conference on mobile systems, applications and services",no,no need
mobile_latency,Low Latency Mobile Augmented Reality with Flexible Tracking,MobiCom '18: Proceedings of the 24th Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_latency,RemoteGL - Towards Low-latency Interactive Cloud Graphics Experience for Mobile Devices (demo),"MobiSys '19: Proceedings of the 17th Annual International Conference on Mobile Systems, Applications, and Services",mobisys ,no,no need
mobile_latency,Latency Adaptive Streaming of 8K 360 Degree Video to Mobile VR Headsets (demo),"MobiSys '19: Proceedings of the 17th Annual International Conference on Mobile Systems, Applications, and Services",mobisys ,no,no need
mobile_latency,Mitigating the Latency-Accuracy Trade-off in Mobile Data Analytics Systems,MobiCom '18: Proceedings of the 24th Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_latency,Leveraging program analysis to reduce user-perceived latency in mobile applications,ICSE '18: Proceedings of the 40th International Conference on Software Engineering,"icse 
international conference on software engineering",yes,only target problem
mobile_latency,Tutti: coupling 5G RAN and mobile edge computing for latency-critical video analytics,MobiCom '22: Proceedings of the 28th Annual International Conference on Mobile Computing And Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_latency,mGEMM: low-latency convolution with minimal memory overhead optimized for mobile devices,"MobiSys '22: Proceedings of the 20th Annual International Conference on Mobile Systems, Applications and Services","mobisys 
international conference on mobile systems, applications and services",no,no need
mobile_latency,Latency-optimized broadcast in mobile ad hoc networks without node coordination,MobiHoc '14: Proceedings of the 15th ACM international symposium on Mobile ad hoc networking and computing,"mobihoc 
mobile ad hoc networking and computing",no,no need
mobile_latency,On the latency for information dissemination in mobile wireless networks,MobiHoc '08: Proceedings of the 9th ACM international symposium on Mobile ad hoc networking and computing,"mobihoc 
mobile ad hoc networking and computing",no,no need
mobile_latency,Poster: Edge-cloud Enhancement -- Latency-aware Virtual Cluster Placement for Supporting Cloud Applications in Mobile Edge Networks,MobiCom '19: The 25th Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_latency,A comparison of mechanisms for improving mobile IP handoff latency for end-to-end TCP,MobiCom '03: Proceedings of the 9th annual international conference on Mobile computing and networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_latency,A scalable low-latency cache invalidation strategy for mobile environments,MobiCom '00: Proceedings of the 6th annual international conference on Mobile computing and networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_latency,Demo: DeLorean: using speculation to enable low-latency continuous interaction for mobile cloud gaming,"MobiSys '14: Proceedings of the 12th annual international conference on Mobile systems, applications, and services",mobisys ,no,no need
smartphone_battery,How much battery does dark mode save?: an accurate OLED display power profiler for modern smartphones,"MobiSys '21: Proceedings of the 19th Annual International Conference on Mobile Systems, Applications, and Services",mobisys ,no,no need
smartphone_battery,Demo: Wireless Link Selection on Smartphone: Throughput vs Battery Drain,MobiCom '15: Proceedings of the 21st Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_gpu,A GPU-enabled mobile telemedicine training system for graphic rendering,MobiCom '22: Proceedings of the 28th Annual International Conference on Mobile Computing And Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_gpu,Pantheon: Preemptible Multi-DNN Inference on Mobile Edge GPUs,"MOBISYS '24: Proceedings of the 22nd Annual International Conference on Mobile Systems, Applications and Services","mobisys 
international conference on mobile systems, applications and services",no,no need
mobile_gpu,GPU based High Definition Parallel Video Codec Optimization in Mobile Device,MobiCom '18: Proceedings of the 24th Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_gpu,Accelerating Mobile Audio Sensing Algorithms through On-Chip GPU Offloading,"MobiSys '17: Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services",mobisys ,no,no need
mobile_gpu,CoDL: efficient CPU-GPU co-execution for deep learning inference on mobile devices,"MobiSys '22: Proceedings of the 20th Annual International Conference on Mobile Systems, Applications and Services","mobisys 
international conference on mobile systems, applications and services",no,no need
mobile_gpu,Heimdall: mobile GPU coordination platform for augmented reality applications,MobiCom '20: Proceedings of the 26th Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_gpu,LiteReconfig: cost and content aware reconfiguration of video object detection systems for mobile GPUs,EuroSys '22: Proceedings of the Seventeenth European Conference on Computer Systems,eurosys ,no,no need
mobile_gpu,DeepMon: Mobile GPU-based Deep Learning Framework for Continuous Vision Applications,"MobiSys '17: Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services",mobisys ,no,no need
mobile_gpu,Demo: DeepMon: Building Mobile GPU Deep Learning Models for Continuous Vision Applications,"MobiSys '17: Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services",mobisys ,no,no need
mobile_gpu,Kahawai: High-Quality Mobile Gaming Using GPU Offload,"MobiSys '15: Proceedings of the 13th Annual International Conference on Mobile Systems, Applications, and Services",mobisys ,no,no need
mobile_gpu,Demo: GPU-based Image Recognition and Object Detection on Commodity Mobile Devices,"MobiSys '16 Companion: Proceedings of the 14th Annual International Conference on Mobile Systems, Applications, and Services Companion",mobisys ,no,no need
mobile_gpu,Demo: Kahawai: high-quality mobile gaming using GPU offload,"MobiSys '14: Proceedings of the 12th annual international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_gpu,Poster: towards mobile GPU-accelerated context processing for continuous sensing applications on smartphones,"MobiSys '12: Proceedings of the 10th international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_cpu,ConvReLU++: Reference-based Lossless Acceleration of Conv-ReLU Operations on Mobile CPU,"MobiSys '23: Proceedings of the 21st Annual International Conference on Mobile Systems, Applications and Services","mobisys 
international conference on mobile systems, applications and services",no,no need
mobile_cpu,AsyMo: scalable and efficient deep-learning inference on asymmetric mobile CPUs,MobiCom '21: Proceedings of the 27th Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
android_energy,E-MANAFA: Energy Monitoring and ANAlysis tool For Android,ASE '22: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,"ase 
automated software engineering",no,no need
android_energy,ecoCode: a SonarQube Plugin to Remove Energy Smells from Android Projects,ASE '22: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,"ase 
automated software engineering",yes,yes
android_energy,A black box technique to reduce energy consumption of Android apps,ICSE-NIER '22: Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: New Ideas and Emerging Results,international conference on software engineering,no,bytecode level
android_energy,Comparing the Energy Efficiency of WebAssembly and JavaScript in Web Applications on Android Mobile Devices,EASE '22: Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering,"ase 
ease 
international conference on evaluation and assessment in software engineering",yes,only target problem
android_energy,Automated construction of energy test oracles for Android,ESEC/FSE 2020: Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"esec/fse 
fse ",yes,yes
android_energy,Search-based energy testing of Android,ICSE '19: Proceedings of the 41st International Conference on Software Engineering,"icse 
international conference on software engineering",yes,yes
android_energy,Detection of energy inefficiencies in Android wear watch faces,ESEC/FSE 2018: Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"esec/fse 
fse ",no,no need
android_energy,Multi-Objective Optimization of Energy Consumption of GUIs in Android Apps,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 27, Issue 3","transactions on software engineering
transactions on software engineering and methodology",yes,only target problem
android_energy,µDroid: an energy-aware mutation testing framework for Android,ESEC/FSE 2017: Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,"esec/fse 
fse ",yes,only target problem
android_energy,Measuring and optimizing android smartwatch energy consumption: poster,MobiCom '16: Proceedings of the 22nd Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
android_energy,Energy-aware test-suite minimization for Android apps,ISSTA 2016: Proceedings of the 25th International Symposium on Software Testing and Analysis,"issta 
international symposium on software testing and analysis",yes,yes
android_energy,A study on the energy consumption of Android app development approaches,MSR '17: Proceedings of the 14th International Conference on Mining Software Repositories,msr ,yes,only target problem
android_energy,Improving energy consumption in Android apps,ESEC/FSE 2015: Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,"esec/fse 
fse ",yes,yes
android_energy,The accuracy of Android energy measurements for offloading computational expensive tasks: poster,MobiHoc '16: Proceedings of the 17th ACM International Symposium on Mobile Ad Hoc Networking and Computing,"mobihoc 
mobile ad hoc networking and computing",no,no need
android_energy,Optimizing energy consumption of GUIs in Android apps: a multi-objective approach,ESEC/FSE 2015: Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,"esec/fse 
fse ",yes,only target problem
android_energy,Calculating source line level energy information for Android applications,ISSTA 2013: Proceedings of the 2013 International Symposium on Software Testing and Analysis,"issta 
international symposium on software testing and analysis",no,no need
android_energy,Mining energy-greedy API usage patterns in Android apps: an empirical study,MSR 2014: Proceedings of the 11th Working Conference on Mining Software Repositories,msr ,yes,yes
android_energy,GreenHub farmer: real-world data for Android energy mining,MSR '19: Proceedings of the 16th International Conference on Mining Software Repositories,msr ,no,not performance issue analysis
android_energy,"GreenSource: a large-scale collection of Android code, tests and energy metrics",MSR '19: Proceedings of the 16th International Conference on Mining Software Repositories,msr ,no,not performance issue analysis
android_energy,GEMMA: multi-objective optimization of energy consumption of GUIs in Android apps,ICSE-C '17: Proceedings of the 39th International Conference on Software Engineering Companion,international conference on software engineering,yes,yes
android_energy,PETrA: a software-based tool for estimating the energy profile of Android applications,ICSE-C '17: Proceedings of the 39th International Conference on Software Engineering Companion,international conference on software engineering,no,no need
android_energy,Poster: a smart scheduling mechanism for energy saving in android system,"MobiSys '12: Proceedings of the 10th international conference on Mobile systems, applications, and services",mobisys ,no,no need
android_energy,Poster: an energy profiler for android applications used in the real world,"MobiSys '12: Proceedings of the 10th international conference on Mobile systems, applications, and services",mobisys ,no,no need
phone_memory,Imaginary phone: learning imaginary interfaces by transferring spatial memory from a familiar device,UIST '11: Proceedings of the 24th annual ACM symposium on User interface software and technology,ist ,no,not in venue list
mobile_energy,"SERENUS: Alleviating Low-Battery Anxiety Through Real-time, Accurate, and User-Friendly Energy Consumption Prediction of Mobile Applications",UIST '24: Proceedings of the 37th Annual ACM Symposium on User Interface Software and Technology,ist ,no,not in venue list
mobile_energy,Combatting Energy Issues for Mobile Applications,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 32, Issue 1","transactions on software engineering
transactions on software engineering and methodology",yes,yes
mobile_energy,Cost-Effective Strategies for Building Energy Efficient Mobile Applications,ICSE '23: Proceedings of the 45th International Conference on Software Engineering: Companion Proceedings,"icse 
international conference on software engineering",yes,yes
mobile_energy,EEFL: High-Speed Wireless Communications Inspired Energy Efficient Federated Learning over Mobile Devices,"MobiSys '23: Proceedings of the 21st Annual International Conference on Mobile Systems, Applications and Services","mobisys 
international conference on mobile systems, applications and services",no,no need
mobile_energy,eGEN: an energy-saving modeling language and code generator for location-sensing of mobile apps,ESEC/FSE 2022: Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"esec/fse 
fse ",no,no need
mobile_energy,Detecting and diagnosing energy issues for mobile applications,ISSTA 2020: Proceedings of the 29th ACM SIGSOFT International Symposium on Software Testing and Analysis,"issta 
international symposium on software testing and analysis",yes,yes
mobile_energy,Impact of programming languages on energy consumption for mobile devices,ESEC/FSE 2020: Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"esec/fse 
fse ",no,not performance issue
mobile_energy,Optimizing Energy Efficiency of Browsers in Energy-Aware Scheduling-enabled Mobile Devices,MobiCom '19: The 25th Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_energy,Stochastic energy optimization for mobile GPS applications,ESEC/FSE 2018: Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"esec/fse 
fse ",no,no need
mobile_energy,Measuring the energy footprint of mobile testing frameworks,ICSE '18: Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,"icse 
international conference on software engineering",no,no need
mobile_energy,A Context-driven Energy Assessment for Energy-aware Development of Mobile Sensing Applications,Ph.D. Forum '17: Proceedings of the 2017 Workshop on MobiSys 2017 Ph.D. Forum,mobisys ,no,no need
mobile_energy,Advancing energy testing of mobile applications,ICSE-C '17: Proceedings of the 39th International Conference on Software Engineering Companion,international conference on software engineering,yes,yes
mobile_energy,Towards a framework for detecting energy drain in mobile applications: an architecture overview,ISSTA '18: Companion Proceedings for the ISSTA/ECOOP 2018 Workshops,issta ,no,no need
mobile_energy,Reducing energy consumption of resource-intensive scientific mobile applications via code refactoring,ICSE-C '17: Proceedings of the 39th International Conference on Software Engineering Companion,international conference on software engineering,no,no need
mobile_energy,Automated energy optimization of HTTP requests for mobile applications,ICSE '16: Proceedings of the 38th International Conference on Software Engineering,"icse 
international conference on software engineering",yes,yes
mobile_energy,Nyx: a display energy optimizer for mobile web apps,ESEC/FSE 2015: Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,"esec/fse 
fse ",no,no need
mobile_energy,Energy efficient multipath TCP for mobile devices,MobiHoc '14: Proceedings of the 15th ACM international symposium on Mobile ad hoc networking and computing,"mobihoc 
mobile ad hoc networking and computing",no,no need
mobile_energy,A Computing Profiling Procedure for Mobile Developers to Estimate Energy Cost,"MSWiM '15: Proceedings of the 18th ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",mswim ,no,no need
mobile_energy,Detecting energy bugs and hotspots in mobile apps,FSE 2014: Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,fse ,yes,yes
mobile_energy,Maximizing Mobiles Energy Saving Through Tasks Optimal Offloading Placement in two-tier Cloud,"MSWIM '18: Proceedings of the 21st ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",mswim ,no,no need
mobile_energy,Energy aware self-adaptation in mobile systems,ICSE '13: Proceedings of the 2013 International Conference on Software Engineering,"icse 
international conference on software engineering",no,no need
mobile_energy,Energy Efficient and Fair Management of Sensing Applications on Heterogeneous Resource Mobile Devices,PhDForum '15: Proceedings of the 2015 on MobiSys PhD Forum,mobisys ,no,no need
mobile_energy,Energy proportional image sensors for continuous mobile vision,"MobiSys '13: Proceeding of the 11th annual international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_energy,Estimating mobile application energy consumption using program analysis,ICSE '13: Proceedings of the 2013 International Conference on Software Engineering,"icse 
international conference on software engineering",no,no need
mobile_energy,APE: an annotation language and middleware for energy-efficient mobile application development,ICSE 2014: Proceedings of the 36th International Conference on Software Engineering,"icse 
international conference on software engineering",yes,only target problem
mobile_energy,An energy efficient adaptive HELLO algorithm for mobile ad hoc networks,"MSWiM '13: Proceedings of the 16th ACM international conference on Modeling, analysis & simulation of wireless and mobile systems",mswim ,no,no need
mobile_energy,Energy characterization and optimization of image sensing toward continuous mobile vision,"MobiSys '13: Proceeding of the 11th annual international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_energy,Energy-efficient trajectory tracking for mobile devices,"MobiSys '11: Proceedings of the 9th international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_energy,Using OMNeT++ for energy optimization simulations in mobile core networks,SIMUTOOLS '12: Proceedings of the 5th International ICST Conference on Simulation Tools and Techniques,icst ,no,not in venue list
mobile_energy,Security versus energy tradeoffs in host-based mobile malware detection,"MobiSys '11: Proceedings of the 9th international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_energy,Energy management in mobile devices with the cinder operating system,EuroSys '11: Proceedings of the sixth conference on Computer systems,eurosys ,no,no need
mobile_energy,EXPRESS: an energy-efficient and secure framework for mobile edge computing and blockchain based smart systems,ASE '20: Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering,"ase 
automated software engineering",no,no need
mobile_energy,EMaaS: energy measurements as a service for mobile applications,ICSE-NIER '19: Proceedings of the 41st International Conference on Software Engineering: New Ideas and Emerging Results,international conference on software engineering,no,no need
mobile_energy,Self-constructive high-rate system energy modeling for battery-powered mobile systems,"MobiSys '11: Proceedings of the 9th international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_energy,Energy-accuracy trade-off for continuous mobile device location,"MobiSys '10: Proceedings of the 8th international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_energy,Middleware for energy-awareness in mobile devices,COMSWARE '09: Proceedings of the Fourth International ICST Conference on COMmunication System softWAre and middlewaRE,icst ,no,not in venue list
mobile_energy,Poster: Energy Efficient Mobile Video Transmission over Wireless Networks in IoT Applications,MobiCom '19: The 25th Annual International Conference on Mobile Computing and Networking,"mobicom 
international conference on mobile computing and networking",no,no need
mobile_energy,Detecting energy-greedy anomalies and mobile malware variants,"MobiSys '08: Proceedings of the 6th international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_energy,On the limits of effective hybrid micro-energy harvesting on mobile CRFID sensors,"MobiSys '10: Proceedings of the 8th international conference on Mobile systems, applications, and services",mobisys ,no,no need
mobile_energy,EARMO: an energy-aware refactoring approach for mobile apps,ICSE '18: Proceedings of the 40th International Conference on Software Engineering,"icse 
international conference on software engineering",yes,yes
