Title,Tags,Answered,Link,With code,matched_keywords
Huge memory consumption of UniversalImageLoader,"android,memory,android-scrollview,universal-image-loader,outofrangeexception",True,/questions/18262477/huge-memory-consumption-of-universalimageloader,True,memory consumption
What is causing a possible memory leak or crash in the following code?,android,True,/questions/18261150/what-is-causing-a-possible-memory-leak-or-crash-in-the-following-code,True,memory leak
How to use JNI bitmap operations for helping to avoid OOM when using large images? [closed],"android,bitmap,android-ndk,java-native-interface,out-of-memory",True,/questions/18250951/how-to-use-jni-bitmap-operations-for-helping-to-avoid-oom-when-using-large-image,True, oom 
Potential memory leaks when using searchView along with ROOM database and live data,"java,android,kotlin,android-room,android-architecture-components",True,/questions/76982259/potential-memory-leaks-when-using-searchview-along-with-room-database-and-live-d,True,memory leak
Memory leak in SensorManager implementation in parent class,"android,kotlin,memory-leaks,android-sensors,sensormanager",True,/questions/76913662/memory-leak-in-sensormanager-implementation-in-parent-class,True,memory leak
Android: Memory leak in MediaProjection,"android,memory-leaks",True,/questions/76828546/android-memory-leak-in-mediaprojection,True,memory leak
Unresponsive webviews initially outside of viewport in SingleChildScrollView on real android devices w/ Android 12+,"android,flutter,dart,webview,android-webview",True,/questions/76629227/unresponsive-webviews-initially-outside-of-viewport-in-singlechildscrollview-on,True,unresponsive
ConnectivityManager Callback Memory Leak - Android,"android,kotlin,memory-leaks,leakcanary,android-connectivitymanager",True,/questions/76538529/connectivitymanager-callback-memory-leak-android,True,memory leak
Android Web3j create wallet turns out of memory and other problems with communications TLS (other similar questions did not helped me),"java,android,web3-java",True,/questions/76514458/android-web3j-create-wallet-turns-out-of-memory-and-other-problems-with-communic,True,out of memory
Android UI freeze when service is downloading progress,"android,android-service,freeze,bitcoinj",True,/questions/36401665/android-ui-freeze-when-service-is-downloading-progress,True,UI freeze
Runtime change of AppBarLayout color,"android,layout,colors,runtime,appbar",True,/questions/36393840/runtime-change-of-appbarlayout-color,True,runtime change
Memory leaks with MapView in a RecyclerView,"java,android,google-maps,memory-leaks,garbage-collection",True,/questions/36340370/memory-leaks-with-mapview-in-a-recyclerview,True,memory leak
android universal image loader out of memory,"android,universal-image-loader",True,/questions/36323478/android-universal-image-loader-out-of-memory,True,out of memory
Android studio app randomly runs out of memory,"java,android",True,/questions/36284689/android-studio-app-randomly-runs-out-of-memory,True,out of memory
Prevent memory leak in Android,"android,performance,memory,memory-leaks",True,/questions/36179116/prevent-memory-leak-in-android,True,memory leak
Android : Bitmap causing out of memory error,"android,bitmap",True,/questions/36141094/android-bitmap-causing-out-of-memory-error,True,out of memory
Does one need to free the viewbinding in the RecyclerView's ViewHolder to avoid memory leaks?,"android,android-recyclerview,android-viewholder,android-viewbinding",True,/questions/73167957/does-one-need-to-free-the-viewbinding-in-the-recyclerviews-viewholder-to-avoid,True,memory leak
Bitmap Out Of Memory exception throw new OutOfMemoryException(e);,"android,out-of-memory",True,/questions/15580093/bitmap-out-of-memory-exception-throw-new-outofmemoryexceptione,True,out of memory
"Is this a good technique (Using data holder) to eliminate anonymous class, to reduce memory leak risk","java,android",True,/questions/15528040/is-this-a-good-technique-using-data-holder-to-eliminate-anonymous-class-to-re,True,memory leak
"Android decompressing PNGs, will cause potential out of memory errors","android,background-image,out-of-memory,memory-consumption",True,/questions/15525263/android-decompressing-pngs-will-cause-potential-out-of-memory-errors,True,out of memory
using asynctask to speed up android app launch time,"android,android-asynctask",True,/questions/15455858/using-asynctask-to-speed-up-android-app-launch-time,True,launch time
tabs / fragments and memory leak,"android,memory-leaks",True,/questions/15454771/tabs-fragments-and-memory-leak,True,memory leak
AsyncHttpClient download large Pdf files out of memory error,android,True,/questions/15449589/asynchttpclient-download-large-pdf-files-out-of-memory-error,True,out of memory
Out of memory exception in case of simple static gallery,"android,gridview,imageview,android-gallery",True,/questions/15430121/out-of-memory-exception-in-case-of-simple-static-gallery,True,out of memory
how to use ddms for memory leaks in c++ code,"android,android-ndk,ddms",True,/questions/15386339/how-to-use-ddms-for-memory-leaks-in-c-code,True,memory leak
Decode File From SdCard android to avoid out of memory error due to large bitmap or setImageURI,"android,image,resources,sd-card",True,/questions/15377186/decode-file-from-sdcard-android-to-avoid-out-of-memory-error-due-to-large-bitmap,True,out of memory
Why doesn't onSensorChanged cause slowdown on the UI thread?,android,True,/questions/15373584/why-doesnt-onsensorchanged-cause-slowdown-on-the-ui-thread,True,slowdown
Out of memory on a 9830416-byte allocation with bitmap,"android,bitmap",True,/questions/15335183/out-of-memory-on-a-9830416-byte-allocation-with-bitmap,True,out of memory
Android post high res image running out of memory,"java,android,image,post,upload",True,/questions/10350353/android-post-high-res-image-running-out-of-memory,True,out of memory
Out of memory Fatal Exception,"android,out-of-memory,bitmapfactory",True,/questions/10278686/out-of-memory-fatal-exception,True,out of memory
Avoiding data loss due to interruption when saving files on android?,"android,xml,file",True,/questions/10247118/avoiding-data-loss-due-to-interruption-when-saving-files-on-android,True,data loss
Getting Out of memory on a 3001616-byte allocation error for bitmap decoding,"java,android",True,/questions/10224306/getting-out-of-memory-on-a-3001616-byte-allocation-error-for-bitmap-decoding,True,out of memory
Android app: ANR keyDispatchingTimedOut error,android,True,/questions/10192868/android-app-anr-keydispatchingtimedout-error,True, ANR 
Out of memory errors on orientation change,"android,memory-leaks,screen-orientation,osmdroid",True,/questions/13831101/out-of-memory-errors-on-orientation-change,True,out of memory
Android memory leaks heap gc_concurrent,"java,android,performance,memory,memory-leaks",True,/questions/13769948/android-memory-leaks-heap-gc-concurrent,True,memory leak
Huge latency between onPreExecute and doInBackground in AsyncTask,"android,multithreading,android-asynctask",True,/questions/13744587/huge-latency-between-onpreexecute-and-doinbackground-in-asynctask,True,latency
Out of Memory Error Nexus 7 android 4.2.1 [closed],"android,memory,out-of-memory,nexus-7",True,/questions/13722639/out-of-memory-error-nexus-7-android-4-2-1,True,out of memory
Android app OOM (Out Of Memory) adjustment priorities for processes,"android,out-of-memory,scheduler,launcher",True,/questions/13712809/android-app-oom-out-of-memory-adjustment-priorities-for-processes,True," oom 
out of memory"
Context and Memory leaks,android,True,/questions/13699925/context-and-memory-leaks,True,memory leak
Sherlock ActionItems unresponsive FIXED,"android,android-actionbar,actionbarsherlock",True,/questions/13714736/sherlock-actionitems-unresponsive-fixed,True,unresponsive
Intel HAXM and Out Of Memory error when running Android application,"android,android-emulator,out-of-memory,intel",True,/questions/13681853/intel-haxm-and-out-of-memory-error-when-running-android-application,True,out of memory
Avoiding out of memory error in loading bitmap in listview,"android,android-memory",True,/questions/13618345/avoiding-out-of-memory-error-in-loading-bitmap-in-listview,True,out of memory
Out of memory cache error when accessing inside the app,"android,out-of-memory,heap-memory",True,/questions/13606045/out-of-memory-cache-error-when-accessing-inside-the-app,True,out of memory
Android ViewPager with images: memory leak/app crashes,"android,memory-leaks,android-viewpager",True,/questions/13586963/android-viewpager-with-images-memory-leak-app-crashes,True,memory leak
Running out of memory using many editTexts and onclicklisteners,"java,android,memory,memory-management",True,/questions/13521844/running-out-of-memory-using-many-edittexts-and-onclicklisteners,True,out of memory
Memory Leaks in Android application,"android,ddms",True,/questions/13490493/memory-leaks-in-android-application,True,memory leak
Does creating singleton inside application class cause memory leak?,"android,kotlin,singleton,android-context",True,/questions/61258681/does-creating-singleton-inside-application-class-cause-memory-leak,True,memory leak
Is this Runnable safe from memory leak?,"java,android,memory-leaks,runnable,weak-references",True,/questions/29694222/is-this-runnable-safe-from-memory-leak,True,memory leak
Android Out of memory in change wallpaper in Galaxy Note 3,android,True,/questions/29598184/android-out-of-memory-in-change-wallpaper-in-galaxy-note-3,True,out of memory
finding volley requests response time android,"android,response,android-volley",True,/questions/29386249/finding-volley-requests-response-time-android,True,response time
How to debug memory leak where exception instances in heap dump have no inbound references?,"java,android,memory-leaks",True,/questions/3631558/how-to-debug-memory-leak-where-exception-instances-in-heap-dump-have-no-inbound,True,memory leak
Android Memory Leaks Issue,"java,android,memory-leaks",True,/questions/32160330/android-memory-leaks-issue,True,memory leak
"A method of MainActivity called from a Fragment or using a Singleton class, which is better for preventing memory leaks?","java,android,android-fragments,memory-leaks,admob",True,/questions/32155446/a-method-of-mainactivity-called-from-a-fragment-or-using-a-singleton-class-whic,True,memory leak
Is it a memory leak in android,"android,memory-leaks",True,/questions/32152375/is-it-a-memory-leak-in-android,True,memory leak
OutputStream out of memory error while sending File to Http,"java,android,android-file",True,/questions/32117585/outputstream-out-of-memory-error-while-sending-file-to-http,True,out of memory
Memory leaks or normal for Android apps?,"java,android,memory-management,memory-leaks",True,/questions/32063550/memory-leaks-or-normal-for-android-apps,True,memory leak
How to display Custom message before force close or ANR message will occur,"android,android-emulator",True,/questions/3463328/how-to-display-custom-message-before-force-close-or-anr-message-will-occur,True, ANR 
android memory leak in notification service,"android,memory-leaks,notifications,notificationmanager",True,/questions/3390280/android-memory-leak-in-notification-service,True,memory leak
Android: out of memory exception in Gallery,"android,memory-leaks,gallery",True,/questions/3238388/android-out-of-memory-exception-in-gallery,True,out of memory
Memory leak in WebView,"android,android-webview",True,/questions/3130654/memory-leak-in-webview,True,memory leak
How to handle out of memory error?,android,True,/questions/3035228/how-to-handle-out-of-memory-error,True,out of memory
android widget unresponsive,"android,widget",True,/questions/3034513/android-widget-unresponsive,True,unresponsive
Android: Memory leak due to AsyncTask,"android,memory,memory-leaks,android-asynctask",True,/questions/3033007/android-memory-leak-due-to-asynctask,True,memory leak
GridView out of memory error,"android,memory,gridview,image",True,/questions/2966547/gridview-out-of-memory-error,True,out of memory
How do I keep from running out of memory on graphics for an Android app?,"android,graphics,memory-management",True,/questions/2800728/how-do-i-keep-from-running-out-of-memory-on-graphics-for-an-android-app,True,out of memory
Android camera out of memory exception,"java,android",True,/questions/2714152/android-camera-out-of-memory-exception,True,out of memory
FFmpeg filtergraph for concatenate and amix doesn't work. Out of memory error,"android,audio,ffmpeg,android-ffmpeg",True,/questions/41666403/ffmpeg-filtergraph-for-concatenate-and-amix-doesnt-work-out-of-memory-error,True,out of memory
Android - can mainThread handlers cause memory leaks?,"android,memory-leaks,handler",True,/questions/41477830/android-can-mainthread-handlers-cause-memory-leaks,True,memory leak
MediaControllerCompat memory leak,"java,android,memory-leaks,leakcanary,android-mediasession",True,/questions/41396814/mediacontrollercompat-memory-leak,True,memory leak
Android : Out of memory exception while scrolling GridView?,"android,gridview,out-of-memory,android-gridview",True,/questions/41374960/android-out-of-memory-exception-while-scrolling-gridview,True,out of memory
WindowManagerGlobal.sDefaultWindowManager memory leak,"android,memory-leaks,android-memory",True,/questions/63895734/windowmanagerglobal-sdefaultwindowmanager-memory-leak,True,memory leak
Android and memory leaks,"android,android-layout,android-fragments,leakcanary",True,/questions/63622048/android-and-memory-leaks,True,memory leak
AnyChartView has getting a memory leak when activity destroyed,"android,memory-leaks,anychart,leakcanary",True,/questions/63447201/anychartview-has-getting-a-memory-leak-when-activity-destroyed,True,memory leak
Am I creating memory leaks here?,"java,android,memory-leaks",True,/questions/32524827/am-i-creating-memory-leaks-here,True,memory leak
Android image decoding massive memory consumption,"android,performance,android-bitmap",True,/questions/32524767/android-image-decoding-massive-memory-consumption,True,memory consumption
Android camera Bitmap memory leak,"android,image,bitmap,android-camera",True,/questions/32453203/android-camera-bitmap-memory-leak,True,memory leak
Memory leak detected in Chrome Custom Tabs,"android,google-chrome,memory-leaks,chrome-custom-tabs",True,/questions/32406650/memory-leak-detected-in-chrome-custom-tabs,True,memory leak
Memory Leak in practical example,"java,android,performance,memory,memory-leaks",True,/questions/32400786/memory-leak-in-practical-example,True,memory leak
Difference between Application Not Responding and Unfortunately <Appname> has stopped in Android?,android,True,/questions/32239923/difference-between-application-not-responding-and-unfortunately-appname-has-st,True,application not responding
Android: Using media files for grid view tutorial causes it to run out of memory after 9 pics?,android,True,/questions/7353819/android-using-media-files-for-grid-view-tutorial-causes-it-to-run-out-of-memory,True,out of memory
android - out of memory,"android,out-of-memory",True,/questions/7282334/android-out-of-memory,True,out of memory
Android Surfaceview Threads and memory leaks,"android,multithreading,memory-leaks,surfaceview",True,/questions/7227624/android-surfaceview-threads-and-memory-leaks,True,memory leak
Possible memory leak using Handler?,"android,memory,memory-management",True,/questions/7196363/possible-memory-leak-using-handler,True,memory leak
Android: View with 0 height and memory consumption,"android,view,height,visible,zero",True,/questions/7035089/android-view-with-0-height-and-memory-consumption,True,memory consumption
listView.setAdapter is so sluggish?,"android,listview",True,/questions/21301754/listview-setadapter-is-so-sluggish,True,sluggish
Camera Preview Out of Memory Error,"android,memory,camera,overlay,preview",True,/questions/21299443/camera-preview-out-of-memory-error,True,out of memory
Calculate download speeds/packet loss /jitter /latency to servers on all the continents values (Android),"android,network-programming,video-streaming,rtsp,packet",True,/questions/21255416/calculate-download-speeds-packet-loss-jitter-latency-to-servers-on-all-the-con,True,latency
Android out of memory bitmap,"android,memory,bitmap",True,/questions/21063867/android-out-of-memory-bitmap,True,out of memory
Universal Image Loader OOM while loading image from drawable folder?,"android,caching,image-processing,out-of-memory,universal-image-loader",True,/questions/21039010/universal-image-loader-oom-while-loading-image-from-drawable-folder,True, oom 
Memory leak - Android activities held by android.os.Message,"java,android,memory-leaks",True,/questions/21002343/memory-leak-android-activities-held-by-android-os-message,True,memory leak
"Android - Saving photo taken from Camera , Out of memory","android,memory-management,bitmap,out-of-memory,heap-memory",True,/questions/31982179/android-saving-photo-taken-from-camera-out-of-memory,True,out of memory
Picasso: out of memory,"android,out-of-memory,picasso",True,/questions/31925461/picasso-out-of-memory,True,out of memory
RuntimeException: native typeface cannot be made or memory leak for custom TextView loading font,"android,memory-leaks,runtimeexception,android-fonts,inflate-exception",True,/questions/20942671/runtimeexception-native-typeface-cannot-be-made-or-memory-leak-for-custom-textv,True,memory leak
"Android, out of memory converting to black and white","android,performance,android-bitmap",True,/questions/20918737/android-out-of-memory-converting-to-black-and-white,True,out of memory
Holding activity instance in fragment: can it result in a memory leak?,"android,memory-leaks",True,/questions/48059506/holding-activity-instance-in-fragment-can-it-result-in-a-memory-leak,True,memory leak
Out of memory while downloading file,"java,android,android-asynctask,download,out-of-memory",True,/questions/48009832/out-of-memory-while-downloading-file,True,out of memory
Items unresponsive after Inflating Custom View in NavigationDrawer Android,"android,android-custom-view,android-scrollview,drawerlayout,navigationview",True,/questions/47897499/items-unresponsive-after-inflating-custom-view-in-navigationdrawer-android,True,unresponsive
use ExecutorService occur out of memory on android,android,True,/questions/47897185/use-executorservice-occur-out-of-memory-on-android,True,out of memory
Firestore initial data load makes app unresponsive,"android,google-cloud-firestore",True,/questions/47739779/firestore-initial-data-load-makes-app-unresponsive,True,unresponsive
"Why I user imageview and Change Recurce it,I get ""out of memory""Error",android,True,/questions/47648229/why-i-user-imageview-and-change-recurce-it-i-get-out-of-memoryerror,True,out of memory
Fragment Memory Leak,"android,android-fragments,fragment,android-memory",True,/questions/30963057/fragment-memory-leak,True,memory leak
libpd library Low latency support for video?,"java,android,latency,low-latency,libpd",True,/questions/30891306/libpd-library-low-latency-support-for-video,True,latency
Android animations memory leak,"android,animation",True,/questions/30874547/android-animations-memory-leak,True,memory leak
Realtime/zero-latency video stream: what codec parameters to use?,"android,video-streaming,gstreamer,h.264",True,/questions/30730082/realtime-zero-latency-video-stream-what-codec-parameters-to-use,True,latency
Improving the latency of server response under high-volme traffic [closed],"php,android,mysql,high-availability,high-load",True,/questions/30701138/improving-the-latency-of-server-response-under-high-volme-traffic,True,latency
Android out of memory exception,"android,out-of-memory,assets,bitmapfactory,android-bitmap",True,/questions/30636855/android-out-of-memory-exception,True,out of memory
Out Of Memory on Assets.Reload after Purchasing Item,"android,bitmap,out-of-memory",True,/questions/30642837/out-of-memory-on-assets-reload-after-purchasing-item,True,out of memory
FirebaseAuth Memory Leak in Activity,"android,memory-leaks,firebase,firebase-authentication,leakcanary",True,/questions/30587340/firebaseauth-memory-leak-in-activity,True,memory leak
Could this Runnable class cause memory leaks?,"android,multithreading,kotlin,memory-leaks,runnable",True,/questions/54814017/could-this-runnable-class-cause-memory-leaks,True,memory leak
"Is it ok to use observerForever() for a LiveData, does it not cause memory leaks? and should I unregister it somewhere in activity?","android,android-livedata",True,/questions/54759878/is-it-ok-to-use-observerforever-for-a-livedata-does-it-not-cause-memory-leaks,True,memory leak
Can storing a system service statically lead to memory leaks?,"java,android,android-context",True,/questions/54633492/can-storing-a-system-service-statically-lead-to-memory-leaks,True,memory leak
tool to measure performance of android app rendering time/app latency/Performance,"android,performance,rendering,latency",True,/questions/54565684/tool-to-measure-performance-of-android-app-rendering-time-app-latency-performanc,True,latency
Memory Leak with SwipeRefreshLayout,android,True,/questions/56796929/memory-leak-with-swiperefreshlayout,True,memory leak
Will making application class singleton cause memory leak?,"android,memory-leaks,leakcanary",True,/questions/56660758/will-making-application-class-singleton-cause-memory-leak,True,memory leak
Room Database schema update without data loss,"android,sqlite,kotlin,android-sqlite,android-room",True,/questions/56478785/room-database-schema-update-without-data-loss,True,data loss
is this a memory leak attaching to a view?,"android,memory-leaks",True,/questions/56448774/is-this-a-memory-leak-attaching-to-a-view,True,memory leak
Wired Out of memory: Java heap space error with ffmpeg library,"android,gradle,ffmpeg,out-of-memory,heap-memory",True,/questions/56271816/wired-out-of-memory-java-heap-space-error-with-ffmpeg-library,True,out of memory
ShowCaseView Out of Memory Error,"java,android,out-of-memory,showcaseview,samsung-galaxy",True,/questions/35941998/showcaseview-out-of-memory-error,True,out of memory
Bitmap.createBitmap out of memory error java,"java,android,bitmap,out-of-memory",True,/questions/35941542/bitmap-createbitmap-out-of-memory-error-java,True,out of memory
Memory leak using Lollipop's transitions,"android,memory-leaks,android-transitions",True,/questions/35791795/memory-leak-using-lollipops-transitions,True,memory leak
OsmDroid MyLocationNewOverlay.enableMyLocation() cause memory leak,"android,memory-leaks,osmdroid,mylocationoverlay",True,/questions/35726790/osmdroid-mylocationnewoverlay-enablemylocation-cause-memory-leak,True,memory leak
How do I make a puzzle app in droid without running out of memory?,"android,crop,puzzle,android-bitmap,porter-duff",True,/questions/35706406/how-do-i-make-a-puzzle-app-in-droid-without-running-out-of-memory,True,out of memory
Getting lot of ANR using Accessibility service in android,"android,google-play,accessibility,android-anr-dialog",True,/questions/46484851/getting-lot-of-anr-using-accessibility-service-in-android,True, ANR 
Picasso MemoryPolicy.NO_CACHE/NO_STORE still increasing allocated and memory consumption,"java,android,caching,memory,picasso",True,/questions/46388187/picasso-memorypolicy-no-cache-no-store-still-increasing-allocated-and-memory-con,True,memory consumption
How to clean up Rx Subscription and Observable to prevent memory leaks?,"java,android,rx-java,observable,rx-android",True,/questions/46347939/how-to-clean-up-rx-subscription-and-observable-to-prevent-memory-leaks,True,memory leak
Is it possible to stop my app from showing battery draining notification?,android,True,/questions/46158045/is-it-possible-to-stop-my-app-from-showing-battery-draining-notification,True,battery drain
Activity as a listener and memory leaks,"android,memory-leaks,android-activity",True,/questions/4257724/activity-as-a-listener-and-memory-leaks,True,memory leak
Android custom view Bitmap memory leak,"android,out-of-memory,ondraw,custom-view",True,/questions/4197794/android-custom-view-bitmap-memory-leak,True,memory leak
Audio Recording and Out of memory Exception,"android,out-of-memory",True,/questions/4152957/audio-recording-and-out-of-memory-exception,True,out of memory
Is there any efficient way in Android to downscale large image from file and save it to new file without OOM exception,"java,android,kotlin",True,/questions/54024050/is-there-any-efficient-way-in-android-to-downscale-large-image-from-file-and-sav,True, oom 
How To Fix Slow Rendering in my Android Code?,"android,xml,performance,android-studio,android-layout",True,/questions/53849689/how-to-fix-slow-rendering-in-my-android-code,True,Slow rendering
Can be static reference to View memory leak?,"android,memory-leaks",True,/questions/5504071/can-be-static-reference-to-view-memory-leak,True,memory leak
Eclipse Android Plugin sluggish,android,True,/questions/4003263/eclipse-android-plugin-sluggish,True,sluggish
Android SQLite memory leak,"sql,android,sqlite",True,/questions/3720334/android-sqlite-memory-leak,True,memory leak
Runtime Change Android material theme,"java,android,styles,themes,material-design",True,/questions/41800164/runtime-change-android-material-theme,True,runtime change
Memory leaks on realm database file,"android,database,memory-leaks,realm",True,/questions/41769853/memory-leaks-on-realm-database-file,True,memory leak
How to prevent UI lag when updating Notification while downloading file?,"java,android,android-asynctask",True,/questions/17345623/how-to-prevent-ui-lag-when-updating-notification-while-downloading-file,True,UI lag
Android - onOptionsItemSelected UI freeze until complete,"android,user-interface,actionbarsherlock",True,/questions/17278032/android-onoptionsitemselected-ui-freeze-until-complete,True,UI freeze
Out of Memory Exception,"android,performance,out-of-memory",True,/questions/17229632/out-of-memory-exception,True,out of memory
Getting memory leak error in android 2.3,"java,android,memory-leaks",True,/questions/17150549/getting-memory-leak-error-in-android-2-3,True,memory leak
Out of memory when storing lines from txt to ArrayList,"java,android,io",True,/questions/17027727/out-of-memory-when-storing-lines-from-txt-to-arraylist,True,out of memory
Android Traceview - It holds the Answers to my Unresponsive App... I think,"android,methods,webkit,cpu,bitmapfactory",True,/questions/17012222/android-traceview-it-holds-the-answers-to-my-unresponsive-app-i-think,True,unresponsive
Threaded low latency audio on Android,"android,audio,pthreads,low-latency",True,/questions/16987613/threaded-low-latency-audio-on-android,True,latency
android - Bitmap Out Of Memory Issues when making zoom thumbnil imange in android,"android,memory",True,/questions/16980957/android-bitmap-out-of-memory-issues-when-making-zoom-thumbnil-imange-in-androi,True,out of memory
Out of memory on Android App on scrolling list with images,"android,android-layout",True,/questions/14156996/out-of-memory-on-android-app-on-scrolling-list-with-images,True,out of memory
Memory leak through IClipboardDataPasteEventImpl,"memory-leaks,android",True,/questions/14135931/memory-leak-through-iclipboarddatapasteeventimpl,True,memory leak
Android out of memory when assigning variables,"android,memory,bitmap",True,/questions/14116757/android-out-of-memory-when-assigning-variables,True,out of memory
PhoneGap + jQuery Mobile = slow tap response time,"android,cordova,jquery-mobile",True,/questions/14097351/phonegap-jquery-mobile-slow-tap-response-time,True,response time
Out Of Memory Exception While Getting AlbumArt,"android,bitmap,out-of-memory,expandablelistview,bitmapfactory",True,/questions/14066331/out-of-memory-exception-while-getting-albumart,True,out of memory
Android - Second of Two Buttons in Fragment Is Unresponsive,"java,android,android-fragments",True,/questions/14011590/android-second-of-two-buttons-in-fragment-is-unresponsive,True,unresponsive
Activity Has Memory Leak on dialog.show(),"android,android-asynctask,android-activity,android-memory",True,/questions/13910041/activity-has-memory-leak-on-dialog-show,True,memory leak
Out of memory using adapters,"android,memory-leaks,android-context",True,/questions/13862500/out-of-memory-using-adapters,True,out of memory
Getting Out Of Memory Error when saving big files,"java,android,file,memory",True,/questions/65795540/getting-out-of-memory-error-when-saving-big-files,True,out of memory
