commit_Link,commit_Title,commit_Description,issue_Id,issue_link,matched_keywords
https://github.com/celzero/rethink-app/commit/bfe815b2de107d65a3ea35c9816223cc9d24fe84,"Exclude app lockdown fix, Removed free.bravedns","#178In case of lockdown mode, the excluded apps wont able to
connected. so not including the apps in the excluded list if the
lockdown mode is enabled.
From GoVPNAdapter, the default url ""free.bravedns.com"" is removed.
Latency time estimation for the dns queries are modified. Now
the latency is assigned based on the value sent from tun2socks.


Former-commit-id:a592bc1",,,latency
https://github.com/celzero/rethink-app/commit/9ebbcbf8642eca78225a37d90edb4ddfbac08807,"HomeScreen UX change, P2 quantile and other bug fixes","#148- Introduces Shimmer animation for the Start button in the
Home Screen. Also modified the UX for the DNS and Firewall
button. Now the shimmer animation will be there for both the
start button and RethinkDNS in the Home screen.
RethinkDNS modes selection is removed from the Home screen.
Introduced new bottom sheet in the home screen to configure the
modes.#157- DNSCrypt anonymous relays names are modified.#133,#114- Now the apps which are not part of app range UID's
the apps which don't have packages(eg., GPS) are now added into
firewall list.#156- Latency estimate logic has been modified with P2 quantile
estimator logic with constant time solution.#153- The URL for configure rethinkdns plus now contains one more
parameter - timestamp(blocklist downloaded time).#154- App and blocklist auto update check frequency is modified
from 24 hours. The check will be happening on every Friday and
Saturday.#158- Bug fix on the UX of bottomsheet in the network logs.#167- Bug fix, by default app from excluded apps are removed. Now
the apps which are part of excluded list are not refreshed and
reassigning of values are removed from the code.

[Recommended] string in the whitelist is removed.


Former-commit-id:d2e0ef5",,,latency
https://github.com/celzero/rethink-app/commit/192712170cb6b37ae1c5978b6c1beac94330bf95,"Connection Tracking, Firewall scree refractor and other bug fixes","Connection Tracking:
* Introduced new screen to track all the app connections.
* isBlock method invocation from tunnel2socks will have the details of the connections. Those connections are added to the connection tracking screen.
* Conn Tracking Screen will have the details of the app, timestamp, IP, port, type of connection, and flag.
* Pending - -DNS UDP connection to an IP address.#3Firewall Screen:
* Removed the category and app list from firewall screen
* Introduced expandable list view which will show the app category and list of apps in the category.
* Livedata mapping with the database. (AppInfoDAO and CategoryInfoDAO).
* Prompt dialog box when an app with same UID is blocked/unblocked. Dialog box will contain list of apps blocked/unblocked along with the selected app.
* Included System apps also in firewall screen#4#14About Page
* Introduced new screen in HomeScreenActivity as a fragment.
* Screen consists of Links, Contact and telegram group link.

Bug Fixes:
* Query Tracker - Median latency value was earlier added in a sorted list which is now modified to arraylist and the median is calculated in the arraylist.
* Webview - Destroying the webview activity when the user .
* Live data - Home screen tile values are updated by LiveData instead of Handlers.#8* Firewall Implementation for 8+ - UID check is made against the blocked list and return boolean value whether to block/allow.#31#30* DNS change delay - Delay of 1 sec has been introduced when the DNS URL's are changed. This is to avoid rapid change of URL's#35* Brave Mode delay - Changing the modes in home screen now has a delay of 1 sec.
* Screen lock -#29* UI - Various UI corrections and modification in strings.xml file.


Former-commit-id:9734485",,,latency
https://github.com/wikimedia/apps-android-wikipedia/commit/b184b150d7ac6b953b999b84ddfc656a83afb17b,Fix possible memory leak in feed.,"I've observed a memory leak (on API 17) apparently stemming from the new
functionality to fill in the bookmark icon when the featured article is
detected to be part of a reading list.

This seems to be caused by us passing an anonymous instance of a
CallbackTask.Callback object from FeaturedArticleView, which contains
references to $this, which contains a reference to the activity context.

This patch solves the leak by modifying the CallbackTask to no longer hold
on to a reference of Callback, and instead null it out immediately after
it's called.

Change-Id: I768e24dab7f39652ec741a5d6f9821db7de4f2bd",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/e952333d54f10e7919850e03844409d32874c1fc,Fix: try to avoid out of memory errors when detecting faces,"If users are bumping against the memory limit, they will probably
experience other issues but it might be worth guarding against frequent
and non-critical OutOfMemoryErrors occurring during face detection

Change-Id: I33c46374243527b6464ea5b56b4d6625d2eaf85c",,,out of memory
https://github.com/wikimedia/apps-android-wikipedia/commit/85b7878f2ba48cc367cd7c62c50f64d7b59ac2f5,"Merge ""Fix possible memory leak(s) in feed.""",,,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/9fb372594c8da7d7bb27da6f520e9166211c362a,Fix possible memory leak(s) in feed.,"Observed in API 17, certain Clients that provide feed content seem
to retain a reference to a Context, which in this case is MainActivity.

This patch provides the FeedCoordinator with an Application context
instead of an Activity context, so that it won't matter if the coordinator
(or any Clients to which it passes the Context) holds on to the Context
longer than necessary.

Change-Id: Ia2603d0ccf57889d84a81d1b90f71cc88f78884d",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/958be7b1e3e93c687a3ce5cfbeeb1d3f09d53e25,"Merge ""Fix possible memory leak in BottomSheetPresenter.""",,,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/ebee3d62cbc14594c492ca949cc99a7358f7df16,Fix possible memory leak in BottomSheetPresenter.,"I've observed a memory leak in API 23, which seems to be caused by our
BottomSheetPresenter holding on to a reference of FragmentManager.

This patch updates the Presenter to always accept FragmentManager as a
parameter, and also lightly refactors the way that we launch the
AddToReadingListDialog.

Change-Id: I930ef47b5ae39f32cdd7659e00ac09780f1ad88d",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/133e6fd22ad75d9971a77af197592348b8756918,Integrate leakcanary into Dev build.,"This integrates leakcanary[0] into our builds, in the following way:
- I added a developer preference that will enable LeakCanary when running a
  Dev-flavor build. (LeakCanary should not always be enabled, since it
  can cause nuisance leak reports or false-positives. It should be enabled
  when performing an ""audit"" for leaks.) Make sure to restart the app when
  turning on/off the developer preference.
- For non-Dev builds, the code will automatically use a no-op reference
  watcher. (The preference for watching memory leaks will have no effect.)

[0]https://github.com/square/leakcanaryChange-Id: I827028322054d767a222ee51265890f56181afab",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/d4e4d49a7da531d2e1496e8531d556c563d7fda5,"Merge ""Fix memory leak related to HockeySDK""",,,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/5e761fd964966f8916054dfa96e13f9263920693,Fix memory leak related to HockeySDK,"The current HockeySDK has a known issue that can leak an Activity, if the
MetricsManager is initialized with the Activity's context. For some
reason, MetricsManager asks for both an Application context and an
Activity context, when in fact it seems to function identically when
initialized with just the Application context.bitstadium/HockeySDK-Android#166Bug:T139945Change-Id: I059f1af67d5c5a6c1d2485eb5dd2d4f37cc42d1a",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/04ffd3e718e3854b808234ce4d5f68a330103dd2,"Merge ""Fix memory leaks (for real!), part 1.""",,,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/7adea3809b62940b388fb9ef5a7edc6fbf7b26eb,"Fix memory leaks (for real!), part 1.","My ongoing search has finally yielded some tangible nuggets.
Exhibit A: Adding a TextWatcher to a TextView, but never removing it! (The
TextWatcher holds a reference to the fragment, thereby leaking it)

Also, now explicitly removing the onItemClick and onItemLongClick
listeners from the ListView, since this seems to lead to a leak in
API <20.

Change-Id: I497ebd37f3059b420622416a66ee5b87a15a2d0c",,,memory leak
https://github.com/wikimedia/apps-android-wikipedia/commit/26c544b57f0606fb39c8cd1a9e79b4d413aaf53f,Don't use javascript bridge for copying to clipboard.,"When passing the text selection from the WebView to the Java layer, we
limit the number of characters on the WebView side, which is not a bad
thing, because a large enough selection can lead to an OOM error.

However, for the purpose of copying the selection to the clipboard, it can
be a hindrance to limit the number of characters, and is confusing to the
user. This patch copies the selected text by simulating a ""Ctrl-C""
keyboard event, and dispatches it to the WebView, which causes it to copy
the selection to the clipboard natively.

Additionally, this allows the copied text to preserve any *formatting*
and/or links, instead of simply copying plain text.

Change-Id: I935cf1d9dc8ac78650b76c6e8cfb758114dea4ac",,, oom 
https://github.com/wikimedia/apps-android-wikipedia/commit/2a261dc2c2664707f63ad726d505d8a27b928c7c,Fix memory issues when switching between different Fragments.,"...In which I slightly modify (simplify?) the way we place and exchange our various
fragments inside the container view in our Activity.

This seems to stabilize memory usage when changing back and forth between PageFragment
and other fragments, which is the leading cause of OOM errors at the moment.

This shouldn't change any UX behavior (e.g. back button logic, etc).

Bug:T121759Change-Id: I745a31f23030b60575cd1b071eabc49c092a1b30",,, oom 
https://github.com/wikimedia/apps-android-wikipedia/commit/2aedb3bd21177a238b2f27dca05c2480034d4f82,Upgrade to Mapbox GL SDK.,"The good news: This brings the app up to date with the latest SDK from
Mapbox.

The bad news: This brings our APK size from 4.1MB to 14.4MB (!)
A sign of the times :(

This patch includes somewhat of a redesign, or more accurately a bit of a
stripdown of the interface, compared with the previous design. This will
now be a simple full-screen map with markers. Clicking on a marker brings
up a link preview for the given article. Nice and simple.
This means that the ""list"" interface with accelerometer-based arrows has
been removed, pending some new designs for a location-aware link preview.

Also updated the marker image that pinpoints to articles on the map.

Bug:T117803Change-Id: I3dc224b02cbbb894ee263525e081fcfe38f9e1d3",,,apk size
https://github.com/wikimedia/apps-android-wikipedia/commit/4a526486dd3a5738508bf45d7b1cdd36dfb92d13,Fix infinite loop in the webview's widen images logic,"In the webview's Javascript code, the images from a page are stretched to
fit in the device's screen. When widening an image, a image URL of greater
resolution can be used instead to fit better with the new computed dimensions.
With this change, we make sure that after this logic takes place, it won't be called
again for the same image, which was provoking an infinite loop causing high
CPU usage.

Bug:T109983Change-Id: I759297334cb7e0c32dc00cd71b300c9783ebf2af",,,cpu usage
https://github.com/wikimedia/apps-android-wikipedia/commit/59dce5f696264b99ce05a26068b38398af7e02a7,Replace ACRA with HockeyApp,"* Replace ACRA with HockeyApp v3.5.0. This change was made as ACRA
  doesn't offer in itself a freestanding backend or quiet automatic
  reporting, and doesn't support Marshmallow yet[0]. However, we will
  investigate a self-hosted Acralyzer installation in the future.

  HockeyApp doesn't seem to offer custom properties, so these are
  bundled as JSON in the report description. Since these properties are
  not associated with a crash instance and not preserved across
  application death, and crashes may enqueue, it's possible they may be
  inaccurate. However, these properties are used in one place presently
  and the current implementation _should_ be adequate.

  The ProGuard rules were updated for HockeyApp from this document[1]
  and a little guesswork.

  HockeyApp v3.5.0 seems to be incompatible with Marshmallow just like
  ACRA. v3.6.0-b.1 appears to work fine. The upgrade will be made in a
  subsequent patch with related changes.

  The change in APK size is ~13 KiB. More specifically, the release
  application was 3825548 B previously and 3838973 B after, increasing
  by 13425 B.

  Crash reporting was verified on dev debug, and alpha, beta, and prod
  release configurations on API 15:

  gradlew clean installDevDebug installAlphaRelease installBetaRelease installProdRelease

  Smoke test crash reporting was verified with HockeyApp v3.6.0-b.1 on
  Marshamallow (with changes coming in a subsequent patch).

  A future patch may replace alpha distribution with HockeyApp.

* Add remote logger to L in the form of logRemoteErrorIfProd(Throwable).
  This is meant to coincide with cludge fixes where the error path is
  not understood. This is done via a helper Exception,
  RemoteLogException, which supplies an accurate stacktrace by forcing
  creation at the point of logging. In the event that a build is non-
  production, L will throw the Throwable, causing the app to crash. The
  thinking was that if it's worth burning user data and engineering
  parsing time, it's worth crashing on everything but prod. A new UI was
  added to dev settings to test this functionality, save the non-prod
  crash bit.

  Also replace Exception logging functions with Throwables and fix no
  message overloads to print an empty string instead of null for their
  messages.

* Rename acra_report_dialog_title and acra_report_dialog_text to
  crash_report_dialog_title and crash_report_dialog_text. Remove
  acra_report_dialog_comment Strings as in-app feedback was removed:

  find -name strings.xml|
  xargs -rd\\n sed -ri '/<string name=""acra_report_dialog_comment""[^>]*>[^<]*<\/string>/d'

* Extremely light refactoring of PreferenceLoader and related classes to
  expose the host Activity, needed by HockeyApp, and a
  findPreference(int) overload that accepts a key String resource ID.

* Replace the crash test NullPointerException with a dummy
  TestException.

[0]ACRA/acra#287[1]http://support.hockeyapp.net/kb/client-integration-android/hockeyapp-and-proguardBug:T108420Change-Id: Ia3b687daf5d5273520569ca60b6b04237cf7fd8d",,,apk size
https://github.com/wikimedia/apps-android-wikipedia/commit/c97f297852cca30ab53736ac96ff4489df15293d,Revive the session funnel.,"- Re-enabled the session funnel, to be sampled at 1:100 in production and
  1:1 in non-production.
- Updated the funnel to record the number of pages viewed during a
  session, categorized by source.
- Added a new source, to represent pages viewed from the disambiguation
  list (Similar pages).
- The funnel now also records the average latency of the lead section
  request and the rest-of-sections request over the network. It also
  records whether the request is done via the MediaWiki API, or the new
  content service.
- Added a developer preference to set the length of a session for testing
  purposes (default is 30 minutes).

Bug:T111541Change-Id: I600b00c2868a6922c1a0e02c86826e146a8dc2cb",,,latency
https://github.com/wikimedia/apps-android-wikipedia/commit/54c075b949b04da1f6a820ba6aaaa2cf837047a6,Maps in Nearby: TNG,"Highlights:
- Using MapBox SDK to retrieve tiles from our server. This sdk adds about
  234 KiB to our APK size.
- Using built-in functionality to display user's location as a marker,
  with a translucent circle representing accuracy.
- Panning and zooming the map refreshes the collection of markers.
- Display of markers is independent of whether we know the user's
  location. This allows the user to randomly ""explore"" arbitrary areas of
  the map.
- Feature-flagged for non-production only. Since this is nearly a rewrite
  of NearbyFragment, I simply created ""NearbyFragmentOld.java"" which has
  the old code, and we'll remove it when the time is right.

Bug:T100315Change-Id: I423745164ce8694d14099ea9aa0b2a05a141c8c3",,,apk size
https://github.com/wikimedia/apps-android-wikipedia/commit/4cadfa0b3b4f20d38e1c7557176b4da114dc7a3e,Add CI script for testing emulator readiness,"The Android instrumentation tests are failing in a strange way after
upgrading the Android Support libraries[0]:

com.android.builder.testing.api.TestException: com.android.builder.testing.api.DeviceException: com.android.ddmlib.ShellCommandUnresponsiveException

This script performs some device readiness checks and waits as needed
before returning which allows the tests to run successfully again. This
script will be used by CI[1] once merged.

[0]https://gerrit.wikimedia.org/r/#/c/235859/[1]https://gerrit.wikimedia.org/r/#/c/239902/Change-Id: Ib8a04d12ec48fe03c508fcacd355daa20a92b34d",,,unresponsive
https://github.com/wikimedia/apps-android-wikipedia/commit/59ca2ac9468b929175b57757273877bc4e8ffb22,Use Retrofit for direct mobileview page load,"* Added new library + license info + ProGuard rules
  devRelease apk size difference:
  before: 3,812,413 bytes
  after:  3,852,942 bytes
  = +40KB
* Implemented PhpApi Retrofit service endpoint
* JsonPageLoadStrategy ApiTasks converted to use Retrofit callbacks
* New Gson POJOs for PageLead and PageRemaining
* PageLead Gson parsing had an issue with the protection field
  --> had to use custom JSON deserializer for the protection field
  due toT69054.
* pageLead request uses formatversion=2 to make handling boolean values easier.
 pageRemaining doesn't have any booleans, so not needed there yet (but probably wouldn't hurt).
* section: ArrayList -> List
* new Section(json) -> Section.fromJson(json)
* Retrofitted RefreshSavedPageTask functionality
* Get Main page for widget (also added slight optimization)
* SectionsFetchTaskTests -> PageLoadTests
* Removed SectionFetchTask
* Add noimages flag (have to skip sending the parameter when false
  since the MW API takes the mere presence of the parameter as a true value)
* Add W0 mcc-mnc enrichment header
* Add other custom headers
* Get W0 X-CS header
* Use OkHttpClient cookie handler and cache
* Cache the RestAdapter's output the service object since this is a memory intensive object.
  Seehttp://stackoverflow.com/questions/20579185/is-there-a-way-to-reuse-builder-code-for-retrofit#answer-20627010I started most of the POJO files using jsonschema2pojo.org. But manually updated them to
introduce the static inner classes, added some convenience methods; and, of course,
last but not least add the custom deserializer for the MwPageLead.Protection object.

The parts I don't like are the extra de-/serialization steps in Section.java. I think it's probably better to leave that
to use org.json.JSONObject parsing instead of using Gson since we pass the former over to the JS bridge.
Now toJSON() builds a new JSONObject just for that. Oh well.

The code is already structured so that it's easy to plug in a new way of loading page content through RESTBase.
It was a bit rough to genericize regular Retrofit interfaces which are used to generate the Retrofit endpoint functionality.
If it wasn't for that this code would have been quite a bit simpler and more standard Retrofit. Sorry, Jake.

Change-Id: I0ea27355780f8d1550b743714454b5fe701d4490",,,apk size
https://github.com/wikimedia/apps-android-wikipedia/commit/6b17b8ce1ec2eb24bd2cd36d4becf3907da8806a,Avoid requesting unused information from API in NearbyFetchTask,"NearbyFetchTask currently requests a pageimage property that it doesn't use.
This changes NearbyFetchTask to explicitly not request that property, which
will slightly reduce data usage for the user with no UI changes.

Change-Id: I92a758975915e50f0c02e998161ff2e5a014d4b5
Task:T97276",,,data usage
https://github.com/wikimedia/apps-android-wikipedia/commit/8e6a483085490424f936e0b2347e600f7ffe0a82,Reuse the same WebView for article navigation.,"The plan so far:
- PageViewFragmentInternal shall now become a true Fragment (and
  I've deleted the ""old"" PageViewFragment class).  Once this patch
  is merged, we can rename it back to PageViewFragment. I'm not
  renaming it yet, to better keep track of what is changing.
- The new fragment structure of the main activity shall be: a single
  PageViewFragment (to display n pages), and at most one other fragment
  on top of it (History, Saved Pages, Nearby) for selecting pages to
  navigate to.
- Added additional sequencing logic to async tasks that fetch page
  content, so that they correctly invalidate themselves when a new page is
  loaded.

TODO: Perform some additional profiling, and see if there are any
remaining resource leaks.

Change-Id: I40ac4c6f1a0351e7fec7b462d5b950c12fd09122",,,resource leak
https://github.com/wikimedia/apps-android-wikipedia/commit/29e351dcb6cae4b32a68ed33c92e034ddd3ad8ea,Image share improvements,"Share image using actual file name in folder with fixed name
Well, not completely the same name. The file name goes through a bit
of transformation to remove unknown characters. But it's way more
useful than using tmpShareImage.jpg.

By having a fixed folder we can delete its files before
sharing another image.
Staying frugal with storage space, though, and make an effort to remove
any shared files once a day with a recurring task.

Now using Context.getExternalCacheDir() since
this folder would get automatically removed if the app is uninstalled.

Plus, checking first if ext. storage is writable before trying to write the file.

Change-Id: I85c9e564d2cf57630bef8c65bc0b7716b39a3850",,,storage space
https://github.com/wikimedia/apps-android-wikipedia/commit/d8507540c7bccd354037552b26f0c22ffe273ae0,Fix and update ActionBar icons for Night mode.,"Also:
- Modified the convert script to pass each png through pngcrush, saving
  about 130KB from the total APK size.
- Modified the color and opacity of ActionBar SVGs to comply with Android
  design guidelines, and have consistent colors in History, Saved Pages,
  Main activity, etc.
- Removed SVG for the hamburger icon.
- Committing all updated PNGs that were affected by this.

Change-Id: I1b22a11ee57b489d013c75a7eee0b2b76d7eb98b",,,apk size
https://github.com/commons-app/apps-android-commons/commit/629f222ccb19915be04f023d995d498e53103a0b,Switch to using UIL for Share activity as well,Should fix the OOM issues and be in general more reliable,,, oom 
https://github.com/commons-app/apps-android-commons/commit/11685e5ec1265230096f6332e792120ac2576efa,(Bug 41703) Validate user tokens & re-login if necessary,"Now we send out a request before every upload to check if
the user is logged in. If not, we re-login.

Need to study this more - this adds a little bit of extra latency
to every upload. But if the upload fails because of a login failure,
it will mean we'll have to re-upload the entire thing. Choices.

Also added a debug method to convert XML object to a String. Was
amazed at the power of Java being able to make such a complex task
accomplishable by a single line </s>",,,latency
https://github.com/TomBursch/kitchenowl/commit/2d35edfb6615bf445970ac653e7fd28e8e719799,fix: storage space info,,,,storage space
https://github.com/aeharding/voyager/commit/c9dd8fa845213902cc76e0cd2f124118a6c66db7,Downgrade rehype-highlight for memory leak (,remarkjs/react-markdown#791,#1455,https://github.com/aeharding/voyager/pull/1455,memory leak
https://github.com/opendocument-app/OpenDocument.droid/commit/7277282ea64bef06a0cdb7416981c99ed9884294,catch impossible OOM on some Nexus 4s,,,, oom 
https://github.com/LucasGGamerM/moshidon/commit/9e9f9357fdeaa5fe18c37f3b3597778566b56ac5,display image cache size,closessk22#301,,,cache size
https://github.com/trynoice/android-app/commit/c5b341540539341c64ccdce3891071bb9cbca174,fix anr while loading app shortcuts in the presets fragment,,,, ANR 
https://github.com/trynoice/android-app/commit/0ea9b1532f9575c9b5f4a2b69fb700e29c509b42,chore: merge pull request,Migrate from May to Room for local data storage,#1086,https://github.com/trynoice/android-app/pull/1086,data storage
https://github.com/trynoice/android-app/commit/d472274d8a9759f8447138609013b43108c54493,fix: ANR on pausing playback,,,, ANR 
https://github.com/ankidroid/Anki-Android/commit/849d7e43ea6d25d02a37e944385eac1a294dde16,fix(release): increase build heap,"release build still failing on OOM during R8 shrink, hopefully this
fixes",,, oom 
https://github.com/ankidroid/Anki-Android/commit/292ef3a4b18e88421792f1d3081d8fb96097629b,Manage space activity: deal with FAT volume identifiers correctly,"When calculating user data and cache size, `StorageVolume.uuid` may
yield what appears to be not actually an UUID but a storage volume
identifier, which “are 32 randomly generated bits that are represented
in string form as AAAA-AAAA”. This commit adds conversion of these
strings to proper UUIDs.",,,cache size
https://github.com/ankidroid/Anki-Android/commit/1047989bb6d63510aa6c828e1d0cfa41c3b02398,test(perf): avoid OOM while running big batches of commit tests,"TIL that you can still kill a machine with 64GB+64GB RAM+Swap if
you run enough Kotlin on it. Thanks gradle.",,, oom 
https://github.com/ankidroid/Anki-Android/commit/bd4b810102b0664b2779a3ca609edc5000e5e834,fix: 'RescheduleDialog' memory leak,"* Open Reviewer
* Select ""Reschedule - Reschedule in X Days""
* Close the dialog
* Close the reviewer
* Memory leak",,,memory leak
https://github.com/ankidroid/Anki-Android/commit/d26a90cac278a6bcd97773062949c6e07afc6772,fix(release): workaround gradle OOM by killing daemon after most activities,…vitiesFixes#12594,,, oom 
https://github.com/ankidroid/Anki-Android/commit/1a8efcc3fbff575ed6d10f66db918a67e3f9049b,Migrated CollectionTask. ConfReset to Kotlin Coroutines (,"* Extracted out ConfChangeHandler functions

* Migrated ConfReset to Coroutines

AppCompatPreferenceActivity is not a lifecycleOwner so it doesn't has access to lifecycleScope.launch{}.  To be able to launch coroutines, we need to have a CoroutineScope(SuperviserJob + Dispatcher.Main) instance using which we can launch new children jobs. Any job started from this scope will need to be cancelled in onDestroy to avoid any memory leaks and resource abuse. Here the AppCompatPreferenceActivity extends CoroutineScope whose implementation is delegated by MainScope. We need to explicitly cancel all the jobs started from this scope, so cancel is called in onDestroy.

* removed redundant variable 'context'

* Added docs and moved postConfChange to finally block

 need to call postConfChange in finally because if withCol{} throws an exception, postConfChange would never get called and progress-bar will never get dismissed",#12454,https://github.com/ankidroid/Anki-Android/pull/12454,memory leak
https://github.com/ankidroid/Anki-Android/commit/1f2dc019d520ffcf20006c7ec9f3e3f4332f56a2,build(deps): remove ktlint memory leak workaround,"It appears upstream has fixed the leak as of 0.45.0, so workaround
not needed, and ktlint is now on 0.45.2 anyway, so use that

Can't remove the actual version override that gets us 0.45.x until
the ktlint gradle plugin has a new release but that hasn't happened yet",,,memory leak
https://github.com/ankidroid/Anki-Android/commit/b6431ef39b3fa05c49220d98ae0ce8aa5423549c,feat: Dialog to handle gesture selection,"GestureSelectionDialogBuilder is the main entry point,
A screen with visual feedback allowing gesture selection via
either user action, or via a spinner

The spinner exists to enhance discoverability
of long/double tap gestures

Known Issues:
* Swipe does not appear on <= API 24. A static image is used
* Gesture unicode character not rendered on <= API 22
* Milliseconds of visual latency on taps (due to double tap checking)

Prep for 6052, code partially from 8078",,,latency
https://github.com/ankidroid/Anki-Android/commit/4809c77a444ef2c198a01e7cded26555f0600623,Fix AnkiStatsTaskHandler's AsyncTasks memory leak,"- Replaces the strong references to view objects in AsyncTasks with WeakReferences
- Turns the extended AsyncTasks into static inner classes
- Checks if a weakly referenced object isn't null before using. Attempts to update UI only if view objects exist.",,,memory leak
https://github.com/ankidroid/Anki-Android/commit/63a34e0ce2e7267c5bcbb23790fdf8d5c2478425,Upgrade ankidroid backend to 0.1.4,"* rsdroid-testing: diagnose file not found error
* fix OOM via memory limit on DB row results
* Add Java-based exceptions for rust errorsFixes#8178(hopefully)",,, oom 
https://github.com/ankidroid/Anki-Android/commit/9ab6d44bed5abc19bc6ce983dcdd78b914e36aa9,BugFix: Safe Display - Don't block nav drawer,"For now, the handling of blocking the animation was buggy, so keep showing
animations even if Safe Display Mode is on.

Tapping on the left side of the navigation drawer caused it to partially pop
out, closing it made the entire UI unresponsive.

I had a few tries, but both of these meant that the drawer closed immediately
when it was swiped open.

We might need to copy the navigation drawer code and recode it.

Fixes 7344",,,unresponsive
https://github.com/ankidroid/Anki-Android/commit/2a514b7de209cd500d202397046984dac8a3e15e,CSV Import: Stream CSV File Input,"Ensures that we shouldn't OOM on import

This is for API 26+, so uses Java Streams

From code review on 6772/6773",,, oom 
https://github.com/ankidroid/Anki-Android/commit/24a5a324683998f19138a5ed400d53e5341b8a66,"Tune robolectric to have more memory, and re-fork",More work to reliably not OOM in Travis,,, oom 
https://github.com/ankidroid/Anki-Android/commit/c3612f9d6792a52bbc9711220c27314969c27dcf,Dispose of Robolectric ActivityControllers after tests,This should prevent OOM in Travis,,, oom 
