Title,Tags,Link,With Code,matched_keywords
how to decode byte array to bitmap without OOM Exception,"java,android,bitmap,out-of-memory,bitmapfactory",https://stackoverflow.com/questions/35676593/how-to-decode-byte-array-to-bitmap-without-oom-exception,True, oom 
Save Android WebView cache as Data Storage,"android,android-webview",https://stackoverflow.com/questions/35664857/save-android-webview-cache-as-data-storage,True,data storage
Internet usage(Data usage) by WebView,"android,android-webview,android-data-usage",https://stackoverflow.com/questions/35599732/internet-usagedata-usage-by-webview,True,data usage
Run out of memory when posting photo to database android,"java,android,imageview,arrays,android-volley",https://stackoverflow.com/questions/35564322/run-out-of-memory-when-posting-photo-to-database-android,True,out of memory
Android Out Of Memory Exception storing huge amount of bytes,"java,android,out-of-memory,arrays",https://stackoverflow.com/questions/35563445/android-out-of-memory-exception-storing-huge-amount-of-bytes,True,out of memory
Memory leak in loop,"android,android-asynctask",https://stackoverflow.com/questions/35549263/memory-leak-in-loop,True,memory leak
Android App Crashes on Some Devices showing out of memory Error despite of small size images,"android,android-layout,android-fragments",https://stackoverflow.com/questions/35503464/android-app-crashes-on-some-devices-showing-out-of-memory-error-despite-of-small,True,out of memory
"Recycler NetworkImageView Scrolling back and forward, out of memory and resizing issues","android,image,android-recyclerview,android-volley",https://stackoverflow.com/questions/35493756/recycler-networkimageview-scrolling-back-and-forward-out-of-memory-and-resizing,True,out of memory
AndroidImageSlider library memory leak,"android,memory-leaks",https://stackoverflow.com/questions/35489153/androidimageslider-library-memory-leak,True,memory leak
Out of Memory error after using app for more than 5-10 mins,"android,out-of-memory,layout-inflater",https://stackoverflow.com/questions/35447883/out-of-memory-error-after-using-app-for-more-than-5-10-mins,True,out of memory
Android LruCache cache size parameter,"android,android-lru-cache",https://stackoverflow.com/questions/38747158/android-lrucache-cache-size-parameter,True,cache size
detect memory leak from MAT,"android,memory-management,memory-leaks,eclipse-memory-analyzer",https://stackoverflow.com/questions/38717594/detect-memory-leak-from-mat,True,memory leak
How to minimize an android app&#39;s cache size,"android,caching,launching",https://stackoverflow.com/questions/38717553/how-to-minimize-an-android-apps-cache-size,True,cache size
APK Size increased dramatically with appcompat-v7:23.4.0,"android,gradle,apk,android-appcompat",https://stackoverflow.com/questions/38694126/apk-size-increased-dramatically-with-appcompat-v723-4-0,True,apk size
Handler memory leaks,"android,memory-leaks",https://stackoverflow.com/questions/38680598/handler-memory-leaks,True,memory leak
Recursive function using volley out of memory error,"java,android,recursion,android-volley,stack-overflow",https://stackoverflow.com/questions/38674924/recursive-function-using-volley-out-of-memory-error,True,out of memory
Android Subtle Memory leak analysis using MAT,"java,android,multithreading,memory-leaks",https://stackoverflow.com/questions/38662817/android-subtle-memory-leak-analysis-using-mat,True,memory leak
Long polling vs server events in context of mobile device and data usage,"android,push-notification",https://stackoverflow.com/questions/38645012/long-polling-vs-server-events-in-context-of-mobile-device-and-data-usage,True,data usage
"setMyLocationEnabled(true) is unresponsive, slow refresh rate","java,android,google-maps",https://stackoverflow.com/questions/38623393/setmylocationenabledtrue-is-unresponsive-slow-refresh-rate,True,unresponsive
Activity Memory Leak reported by LeakCanary - WindowManagerGlobal,"android,memory-leaks,android-windowmanager,leakcanary",https://stackoverflow.com/questions/38609415/activity-memory-leak-reported-by-leakcanary-windowmanagerglobal,True,memory leak
Android oom error on Layout inflation,"java,android,android-fragments",https://stackoverflow.com/questions/38601909/android-oom-error-on-layout-inflation,True, oom 
Out Of Memory Error When loading more images in Glide,"java,android,out-of-memory",https://stackoverflow.com/questions/38560637/out-of-memory-error-when-loading-more-images-in-glide,True,out of memory
Android Frame by Frame Animation issue out of memory or slow animation,"android,out-of-memory,android-animation,animationdrawable",https://stackoverflow.com/questions/38560505/android-frame-by-frame-animation-issue-out-of-memory-or-slow-animation,True,out of memory
Large memory consumption when setting background to dialog,"android,performance,android-memory",https://stackoverflow.com/questions/38553218/large-memory-consumption-when-setting-background-to-dialog,True,memory consumption
Android Constrain Layout use too many memory (ram) (memory leak),"android,android-layout,android-constraintlayout",https://stackoverflow.com/questions/38545319/android-constrain-layout-use-too-many-memory-ram-memory-leak,True,memory leak
android rabbitmq client connection out of memory,"android,rabbitmq,out-of-memory",https://stackoverflow.com/questions/38522835/android-rabbitmq-client-connection-out-of-memory,True,out of memory
Difference in apk size while installing from appstore,"android,google-play,apk",https://stackoverflow.com/questions/38518091/difference-in-apk-size-while-installing-from-appstore,True,apk size
Android - UI rendering problems when using getbase.floatingactionbutton library,"android,floating-action-button",https://stackoverflow.com/questions/38513958/android-ui-rendering-problems-when-using-getbase-floatingactionbutton-library,True,UI rendering
Out Of Memory Android Error,"java,android,sqlite,android-fragments",https://stackoverflow.com/questions/38512190/out-of-memory-android-error,True,out of memory
Revmob Unity Out Of Memory Issue in Android,"android,unity-game-engine,revmob,revmobads",https://stackoverflow.com/questions/38501022/revmob-unity-out-of-memory-issue-in-android,True,out of memory
Memory leak in the empty Activity,"android,memory-leaks,leakcanary",https://stackoverflow.com/questions/38470388/memory-leak-in-the-empty-activity,True,memory leak
Whats the optimal/less-error-prone cache size for OkHttp client (used with exoplayer),"android,caching,retrofit2,okhttp",https://stackoverflow.com/questions/38461823/whats-the-optimal-less-error-prone-cache-size-for-okhttp-client-used-with-exopl,True,cache size
Android application out of memory without dealing with images,android,https://stackoverflow.com/questions/38439467/android-application-out-of-memory-without-dealing-with-images,True,out of memory
Application shows out of Memory Exception and crashed,android,https://stackoverflow.com/questions/38430177/application-shows-out-of-memory-exception-and-crashed,True,out of memory
Android Out of memory small bitmap,"android,memory,memory-management,bitmap",https://stackoverflow.com/questions/38419454/android-out-of-memory-small-bitmap,True,out of memory
Out of memory exception while loading image to imageview,"android,out-of-memory,android-imageview",https://stackoverflow.com/questions/38412581/out-of-memory-exception-while-loading-image-to-imageview,True,out of memory
"PouchDb with SQLite, out of memory error on query","android,sqlite,cordova,pouchdb",https://stackoverflow.com/questions/38352167/pouchdb-with-sqlite-out-of-memory-error-on-query,True,out of memory
Limiting Square Picasso&#39;s cache size to 60MB max,"android,picasso",https://stackoverflow.com/questions/38321950/limiting-square-picassos-cache-size-to-60mb-max,True,cache size
libgdx: Why does my custom actor have a memory leak?,"java,android,memory-management,memory-leaks,libgdx",https://stackoverflow.com/questions/38304895/libgdx-why-does-my-custom-actor-have-a-memory-leak,True,memory leak
Java mmap fails on Android with &quot;mmap failed: ENOMEM (Out of memory)&quot;,"java,android,memory-management,android-ndk,mmap",https://stackoverflow.com/questions/38293892/java-mmap-fails-on-android-with-mmap-failed-enomem-out-of-memory,True,out of memory
heap out of Memory E/dalvikvm-heap: Out of memory on a 383385715-byte allocation,"java,android",https://stackoverflow.com/questions/38279445/heap-out-of-memory-e-dalvikvm-heap-out-of-memory-on-a-383385715-byte-allocation,True,out of memory
"android recycler view adapters, viewpagers, databases, bitmaps and out of memory errors","android,android-fragments,bitmap,arrays,android-adapter",https://stackoverflow.com/questions/38275514/android-recycler-view-adapters-viewpagers-databases-bitmaps-and-out-of-memory,True,out of memory
Java Out of Memory Exception While Reading Database,"java,android,out-of-memory,android-sqlite",https://stackoverflow.com/questions/38247962/java-out-of-memory-exception-while-reading-database,True,out of memory
Facebook NativeAdsManager getting out of memory exception in RecyclerView,"android,facebook,android-recyclerview,native-ads",https://stackoverflow.com/questions/38247220/facebook-nativeadsmanager-getting-out-of-memory-exception-in-recyclerview,True,out of memory
How do I set the cache size of FirebaseDatabase in the new FirebaseDatabase API for Android?,"android,caching,firebase,firebase-realtime-database",https://stackoverflow.com/questions/38234473/how-do-i-set-the-cache-size-of-firebasedatabase-in-the-new-firebasedatabase-api,True,cache size
Volley library getting out of memory error,"android,android-volley",https://stackoverflow.com/questions/38206161/volley-library-getting-out-of-memory-error,True,out of memory
Out of memory on a 65536016-byte allocation using glide library android,"java,android,memory,memory-management,android-glide",https://stackoverflow.com/questions/38183883/out-of-memory-on-a-65536016-byte-allocation-using-glide-library-android,True,out of memory
Memory Leak in Android application,"android,memory-leaks,memory-leak-detector",https://stackoverflow.com/questions/38181386/memory-leak-in-android-application,True,memory leak
Out of Memory Error while Debugging on android device,"android,android-studio,android-debugging",https://stackoverflow.com/questions/38169857/out-of-memory-error-while-debugging-on-android-device,True,out of memory
Android/Java - Out of Memory Exception with Dream Service,"java,android,bitmap,out-of-memory",https://stackoverflow.com/questions/38146765/android-java-out-of-memory-exception-with-dream-service,True,out of memory
Android big image downloading prob : Out of memory,"android,image,download,out-of-memory",https://stackoverflow.com/questions/38144533/android-big-image-downloading-prob-out-of-memory,True,out of memory
Getting deepest details of Android Data Usage history,"android,linux,network-programming",https://stackoverflow.com/questions/38090264/getting-deepest-details-of-android-data-usage-history,True,data usage
Realm latency between writes in the background thread and retrieving objects in the UI thread?,"android,multithreading,background,realm",https://stackoverflow.com/questions/38084702/realm-latency-between-writes-in-the-background-thread-and-retrieving-objects-in,True,latency
BitmapFactory.decodeResource out of memory,"android,bitmap",https://stackoverflow.com/questions/38084609/bitmapfactory-decoderesource-out-of-memory,True,out of memory
Android webview unresponsive after long sleep,"android,webview,android-lifecycle",https://stackoverflow.com/questions/38067401/android-webview-unresponsive-after-long-sleep,True,unresponsive
Unresponsive Android BroadcastReceiver in Phonegap Plugin,"android,cordova,android-intent,alarmmanager,android-broadcastreceiver",https://stackoverflow.com/questions/38058580/unresponsive-android-broadcastreceiver-in-phonegap-plugin,True,unresponsive
Realm android application crash: io.realm.exceptions.RealmError: Unrecoverable error. mmap() failed: Out of memory size,"java,android,database,realm",https://stackoverflow.com/questions/38051678/realm-android-application-crash-io-realm-exceptions-realmerror-unrecoverable-e,True,out of memory
Xamarin CocosSharp 2D CCDrawNode memory leak,"c#,android,xamarin,memory-leaks,cocossharp",https://stackoverflow.com/questions/38034050/xamarin-cocossharp-2d-ccdrawnode-memory-leak,True,memory leak
determining device storage space not working: android,"java,android,storage",https://stackoverflow.com/questions/38021107/determining-device-storage-space-not-working-android,True,storage space
Twilio android sdk increased app size 36 MB can it be reduced?,"android,twilio",https://stackoverflow.com/questions/38014073/twilio-android-sdk-increased-app-size-36-mb-can-it-be-reduced,True,app size
Clarifying the use of maxReportLatencyUs in SensorManager.registerListener,"android,android-sensors,sensormanager",https://stackoverflow.com/questions/37984425/clarifying-the-use-of-maxreportlatencyus-in-sensormanager-registerlistener,True,latency
Android: OnClickListener unresponsive on Initial Load?,"java,android,android-fragments,android-tv",https://stackoverflow.com/questions/37975409/android-onclicklistener-unresponsive-on-initial-load,True,unresponsive
Application Not Responding After Launching ACTION_VIEW Intent,"android,android-intent",https://stackoverflow.com/questions/37971927/application-not-responding-after-launching-action-view-intent,True,application not responding
Out of memory Exception in ListView and pagerview together,"android,listview,android-viewpager,out-of-memory,fragmentstatepageradapter",https://stackoverflow.com/questions/37960677/out-of-memory-exception-in-listview-and-pagerview-together,True,out of memory
adding images in ListView shows out of memory,"android,listview",https://stackoverflow.com/questions/37959578/adding-images-in-listview-shows-out-of-memory,True,out of memory
Recreating activity cause Out Of Memory error,"android,memory-management,memory-leaks,out-of-memory,android-theme",https://stackoverflow.com/questions/37948276/recreating-activity-cause-out-of-memory-error,True,out of memory
RecyclerView ANR during fast fling,"android,android-recyclerview",https://stackoverflow.com/questions/71296782/recyclerview-anr-during-fast-fling,True, ANR 
android - prebuild project apk size increased in target folder,android,https://stackoverflow.com/questions/71240980/android-prebuild-project-apk-size-increased-in-target-folder,True,apk size
Is there a way to ahead detect ANR programmatically in production?,"android,android-anr-dialog,android-strictmode",https://stackoverflow.com/questions/71190567/is-there-a-way-to-ahead-detect-anr-programmatically-in-production,True, ANR 
How to collect &quot;Slow rendering&quot; and &quot;Frozen frames&quot; timings for individual screens in Flutter?,"android,ios,firebase,flutter,firebase-performance",https://stackoverflow.com/questions/71182583/how-to-collect-slow-rendering-and-frozen-frames-timings-for-individual-scree,True,"Slow rendering
frozen Frames"
facebook or Uber react native app size is so small,"java,android,react-native,google-play",https://stackoverflow.com/questions/71153700/facebook-or-uber-react-native-app-size-is-so-small,True,app size
Any idea what can cause an ANR on android.graphics.HardwareRenderer.nSyncAndDrawFrame?,"android,android-anr-dialog",https://stackoverflow.com/questions/71128954/any-idea-what-can-cause-an-anr-on-android-graphics-hardwarerenderer-nsyncanddraw,True, ANR 
Is there a way to allocate a Bitmap in JNI and use it in Java to avoid OOM error,"android,image-processing,java-native-interface,android-canvas,android-bitmap",https://stackoverflow.com/questions/71003772/is-there-a-way-to-allocate-a-bitmap-in-jni-and-use-it-in-java-to-avoid-oom-error,True, oom 
OnePlus and Huawei detect &quot;Disable Data Usage&quot; enabled for my app,"android,huawei-developers,oneplusone",https://stackoverflow.com/questions/70967809/oneplus-and-huawei-detect-disable-data-usage-enabled-for-my-app,True,data usage
"Lambdas. Memory leak, Xamarin Android","c#,android,memory-leaks,xamarin.android",https://stackoverflow.com/questions/70960347/lambdas-memory-leak-xamarin-android,True,memory leak
How to prevent to my Xamarin app not be crashed at run time or ANR Pop ups,"java,android,xamarin,xamarin.android",https://stackoverflow.com/questions/70952981/how-to-prevent-to-my-xamarin-app-not-be-crashed-at-run-time-or-anr-pop-ups,True, ANR 
How to fix Dialog Fragment memory leak?,"java,android,leakcanary",https://stackoverflow.com/questions/70931443/how-to-fix-dialog-fragment-memory-leak,True,memory leak
Android Studio AdRequest on screen unlock causes app ui freeze,"android,admob,screen,freeze,unlock",https://stackoverflow.com/questions/70900310/android-studio-adrequest-on-screen-unlock-causes-app-ui-freeze,True,UI freeze
How to remove memory leaks in android studio using leak canary,"android,memory-leaks,leakcanary",https://stackoverflow.com/questions/70897242/how-to-remove-memory-leaks-in-android-studio-using-leak-canary,True,memory leak
"RxJava Single - Getting a memory leak, how to correctly unsubscribe?","java,android,rx-java,rx-java2,leakcanary",https://stackoverflow.com/questions/70877643/rxjava-single-getting-a-memory-leak-how-to-correctly-unsubscribe,True,memory leak
Android Application unresponsive - looping between MainActivity onpause and onresume seemingly jumping to handle navigation bar,"java,android",https://stackoverflow.com/questions/70780323/android-application-unresponsive-looping-between-mainactivity-onpause-and-onre,True,unresponsive
Does a large amount of extraBufferCapacity in the SharedFlow cause memory leak?,"android,kotlin,kotlin-coroutines,kotlin-flow,kotlin-sharedflow",https://stackoverflow.com/questions/70742082/does-a-large-amount-of-extrabuffercapacity-in-the-sharedflow-cause-memory-leak,True,memory leak
How to avoid out of memory exception during processing large number of bitmaps?,"android,exception,crash,out-of-memory",https://stackoverflow.com/questions/70684937/how-to-avoid-out-of-memory-exception-during-processing-large-number-of-bitmaps,True,out of memory
Restrict background data usage,"android,vpn,android-management-api,android-data-usage",https://stackoverflow.com/questions/70589021/restrict-background-data-usage,True,data usage
Memory leak with Location update with fusedLocationProvider,"android,memory-leaks,geolocation,google-location-services",https://stackoverflow.com/questions/70554165/memory-leak-with-location-update-with-fusedlocationprovider,True,memory leak
&quot;top&quot; command on Android 11 seems to return wrong cpu usage,"android,linux,shell,command-line-interface",https://stackoverflow.com/questions/70549212/top-command-on-android-11-seems-to-return-wrong-cpu-usage,True,cpu usage
Memory Leak in MessageQueue in android?,"java,android,memory-leaks,message-queue,leakcanary",https://stackoverflow.com/questions/70483976/memory-leak-in-messagequeue-in-android,True,memory leak
OkHttp ANR at okhttp3.internal.http2.Http2Stream.waitForIo$okhttp(Http2Stream.kt:716),"android,okhttp",https://stackoverflow.com/questions/70391371/okhttp-anr-at-okhttp3-internal-http2-http2stream-waitforiookhttphttp2stream-kt,True, ANR 
Android ANR on Draw Bitmap to Canvas,"android,kotlin,canvas,bitmap,colormatrix",https://stackoverflow.com/questions/70289035/android-anr-on-draw-bitmap-to-canvas,True, ANR 
Android Java Base64.encodeToString out of memory issue when encode byte array to base64 string,"java,android,base64,encode",https://stackoverflow.com/questions/70284453/android-java-base64-encodetostring-out-of-memory-issue-when-encode-byte-array-to,True,out of memory
How to reduce expo apk size for android?,"android,react-native,expo",https://stackoverflow.com/questions/70241252/how-to-reduce-expo-apk-size-for-android,True,apk size
Memory leaks when using static context items in android,"android,kotlin,memory-leaks,android-context,groupie",https://stackoverflow.com/questions/70058797/memory-leaks-when-using-static-context-items-in-android,True,memory leak
What could be causing an ANR on setText on a TextView?,"android,android-anr-dialog",https://stackoverflow.com/questions/70035394/what-could-be-causing-an-anr-on-settext-on-a-textview,True, ANR 
Asynctask Memory Leak Warning Android,"android,memory-leaks,android-asynctask",https://stackoverflow.com/questions/69995118/asynctask-memory-leak-warning-android,True,memory leak
There is a memory leak in One of My activities due to mLoadedApk. I have used LeakCanary. But not able to understand it,"android,memory-leaks,leakcanary,java-memory-leaks",https://stackoverflow.com/questions/69909684/there-is-a-memory-leak-in-one-of-my-activities-due-to-mloadedapk-i-have-used-le,True,memory leak
Admob interstitial ad latency issues when loading ad,"android,admob",https://stackoverflow.com/questions/69785935/admob-interstitial-ad-latency-issues-when-loading-ad,True,latency
Android Server Response time variable&#39; s Time zone change to device location&#39;s Time zone,"android,datetime,timezone,simpledateformat,timestamp-with-timezone",https://stackoverflow.com/questions/69727605/android-server-response-time-variable-s-time-zone-change-to-device-locations-t,True,response time
Why do I get an ANR when I close my android App with a service and a TMultiView in drawer-mode,"android,delphi,firemonkey",https://stackoverflow.com/questions/69721537/why-do-i-get-an-anr-when-i-close-my-android-app-with-a-service-and-a-tmultiview,True, ANR 
SHELL_UNRESPONSIVE,android,https://stackoverflow.com/questions/69718851/shell-unresponsive,True,unresponsive
Is it ok to use gson for persisted data storage in android,"android,json,database,gson,persistence",https://stackoverflow.com/questions/69672842/is-it-ok-to-use-gson-for-persisted-data-storage-in-android,True,data storage
How do I remove this firebase listener in OnDestroy to reduce memory leaks?,"java,android,firebase,firebase-realtime-database,google-cloud-platform",https://stackoverflow.com/questions/69642621/how-do-i-remove-this-firebase-listener-in-ondestroy-to-reduce-memory-leaks,True,memory leak
ViewBinding APK size impact,"android,apk,android-viewbinding",https://stackoverflow.com/questions/69631579/viewbinding-apk-size-impact,True,apk size
How to avoid memory leaks in Android/Kotlin activities,"android,kotlin,memory-leaks",https://stackoverflow.com/questions/69614025/how-to-avoid-memory-leaks-in-android-kotlin-activities,True,memory leak
How to reduce APK size of PDF Reader in Android? - Java,"java,android,pdf,storage",https://stackoverflow.com/questions/69570315/how-to-reduce-apk-size-of-pdf-reader-in-android-java,True,apk size
android ANR in Native method ThreadedRenderer.nSyncAndDrawFrame,"android,android-source",https://stackoverflow.com/questions/69544547/android-anr-in-native-method-threadedrenderer-nsyncanddrawframe,True, ANR 
Android Out Of Memory Error Crash - Tombstone Interpretation,"android,google-maps,sigabrt,tombstone,targetsdkversion",https://stackoverflow.com/questions/69453410/android-out-of-memory-error-crash-tombstone-interpretation,True,out of memory
Firebase plugins cause fat APK size - Flutter,"android,firebase,flutter",https://stackoverflow.com/questions/69408963/firebase-plugins-cause-fat-apk-size-flutter,True,apk size
Android Memory Leak With Fragments,"android,android-fragments,memory-leaks",https://stackoverflow.com/questions/49513726/android-memory-leak-with-fragments,True,memory leak
Unusual memory consumption in working with fragments,"java,android,android-fragments,memory-management,out-of-memory",https://stackoverflow.com/questions/49508583/unusual-memory-consumption-in-working-with-fragments,True,memory consumption
How ANR dialogs shows while MainThread is in Blocked state,android,https://stackoverflow.com/questions/49423123/how-anr-dialogs-shows-while-mainthread-is-in-blocked-state,True, ANR 
Android cannot find the memory leak,"android,memory-leaks",https://stackoverflow.com/questions/49406856/android-cannot-find-the-memory-leak,True,memory leak
I have a memory leak and can&#39;t find it,"java,android,firebase,android-fragments,memory-leaks",https://stackoverflow.com/questions/49347060/i-have-a-memory-leak-and-cant-find-it,True,memory leak
Android OOM(out of memory) in recyclerview using Picaso,"android,android-recyclerview",https://stackoverflow.com/questions/49320063/android-oomout-of-memory-in-recyclerview-using-picaso,True,out of memory
How to fix out of memory error in android while running background thread,"android,android-asynctask,out-of-memory",https://stackoverflow.com/questions/49313915/how-to-fix-out-of-memory-error-in-android-while-running-background-thread,True,out of memory
InputConnectionWrapper is not finalized and is causing a memory leak in Android,"android,android-edittext,inputconnection",https://stackoverflow.com/questions/49313383/inputconnectionwrapper-is-not-finalized-and-is-causing-a-memory-leak-in-android,True,memory leak
animations unresponsive inside button click,"android,animation",https://stackoverflow.com/questions/49222237/animations-unresponsive-inside-button-click,True,unresponsive
Communication between Activity and Service causes memory leak,"android,android-service,aidl",https://stackoverflow.com/questions/49219106/communication-between-activity-and-service-causes-memory-leak,True,memory leak
Can the strong reference returned from WeakReference&#39;s get method cause a memory leak in AsyncTask onProgressUpdate?,"android,android-asynctask,weak-references",https://stackoverflow.com/questions/49218699/can-the-strong-reference-returned-from-weakreferences-get-method-cause-a-memory,True,memory leak
RxJava BehaviorSubject and Consumer - is there a memory leak here?,"android,memory-leaks,rx-java,rx-java2,rx-android",https://stackoverflow.com/questions/49218350/rxjava-behaviorsubject-and-consumer-is-there-a-memory-leak-here,True,memory leak
"To get the current time every second, use Calendar.getInstance(), but occur memory leak on java","android,memory,timer,calendar",https://stackoverflow.com/questions/49164396/to-get-the-current-time-every-second-use-calendar-getinstance-but-occur-memo,True,memory leak
"Android OOM Error, Loading multiple images","java,android,memory-management",https://stackoverflow.com/questions/49162401/android-oom-error-loading-multiple-images,True, oom 
Parcelable out of memory,"android,parcelable",https://stackoverflow.com/questions/49127772/parcelable-out-of-memory,True,out of memory
Why callback method for asynchronous network call can&#39;t cause memory leak when activity finished?,"java,android,jvm,okhttp",https://stackoverflow.com/questions/49064577/why-callback-method-for-asynchronous-network-call-cant-cause-memory-leak-when-a,True,memory leak
"Hello Everyone , API data storage issue in release built and not in debug built , any step that i am doing wrong?","android,sharedpreferences,android-volley",https://stackoverflow.com/questions/49043435/hello-everyone-api-data-storage-issue-in-release-built-and-not-in-debug-built,True,data storage
After how much memory consumption Android throws OutOfMemoryException,"android,performance,android-layout,out-of-memory",https://stackoverflow.com/questions/49028544/after-how-much-memory-consumption-android-throws-outofmemoryexception,True,memory consumption
Unset click listeners inside adapter to avoid memory leaks?,"android,memory-leaks",https://stackoverflow.com/questions/49010523/unset-click-listeners-inside-adapter-to-avoid-memory-leaks,True,memory leak
